"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
21,"AJG","Arthur J. Gallagher & Co.","Financial","Insurance Brokers","USA",41804.94,37.97,197.37,1.07%,895013
22,"AKAM","Akamai Technologies, Inc.","Technology","Software - Infrastructure","USA",12099.22,24.13,78.92,1.95%,1079248
23,"ALB","Albemarle Corporation","Basic Materials","Specialty Chemicals","USA",23073.47,8.53,194.68,-1.03%,2013870
24,"ALGN","Align Technology, Inc.","Healthcare","Medical Devices","USA",24287.20,70.26,323.14,1.93%,612973
25,"ALK","Alaska Air Group, Inc.","Industrials","Airlines","USA",5347.07,96.20,42.04,0.21%,1674085
26,"ALL","The Allstate Corporation","Financial","Insurance - Property & Casualty","USA",30251.01,,115.22,0.30%,1414450
27,"ALLE","Allegion plc","Industrials","Security & Protection Services","Ireland",8715.51,19.19,99.64,0.45%,836839
28,"AMAT","Applied Materials, Inc.","Technology","Semiconductor Equipment & Materials","USA",99149.18,15.34,114.45,-2.45%,6265919
29,"AMCR","Amcor plc","Consumer Cyclical","Packaging & Containers","Switzerland",16804.24,15.80,11.25,-0.53%,9398339
30,"AMD","Advanced Micro Devices, Inc.","Technology","Semiconductors","USA",148966.40,104.49,92.47,-0.10%,47732587
31,"AME","AMETEK, Inc.","Industrials","Specialty Industrial Machinery","USA",31242.75,27.00,135.25,-0.31%,1175833
32,"AMGN","Amgen Inc.","Healthcare","Drug Manufacturers - General","USA",135293.15,20.90,253.32,-0.02%,2047732
33,"AMP","Ameriprise Financial, Inc.","Financial","Asset Management","USA",31385.10,13.25,297.32,-0.39%,430825
34,"AMT","American Tower Corporation","Real Estate","REIT - Specialty","USA",95313.03,53.83,206.69,0.98%,1273327
35,"AMZN","Amazon.com, Inc.","Consumer Cyclical","Internet Retail","USA",1035997.77,,102.06,0.95%,43751813
36,"ANET","Arista Networks, Inc.","Technology","Computer Hardware","USA",49900.38,37.38,159.85,-1.85%,2677310
37,"ANSS","ANSYS, Inc.","Technology","Software - Application","USA",28066.05,53.80,322.08,-0.38%,421756
38,"AON","Aon plc","Financial","Insurance Brokers","Ireland",65965.50,26.57,322.05,0.15%,465826
39,"AOS","A. O. Smith Corporation","Industrials","Specialty Industrial Machinery","USA",9750.72,43.59,64.60,-0.02%,1159084
40,"APA","APA Corporation","Energy","Oil & Gas E&P","USA",11813.12,3.51,38.07,0.21%,5084680
41,"APD","Air Products and Chemicals, Inc.","Basic Materials","Specialty Chemicals","USA",63043.92,27.82,282.00,-0.66%,869163
42,"APH","Amphenol Corporation","Technology","Electronic Components","USA",46408.53,25.34,77.64,-0.53%,1816175
43,"APTV","Aptiv PLC","Consumer Cyclical","Auto Parts","Ireland",28324.32,52.64,103.02,-1.42%,1648412
44,"ARE","Alexandria Real Estate Equities, Inc.","Real Estate","REIT - Office","USA",21403.79,39.22,124.39,0.59%,603738
45,"ATO","Atmos Energy Corporation","Utilities","Utilities - Regulated Gas","USA",16592.78,20.43,115.42,0.51%,811933
46,"ATVI","Activision Blizzard, Inc.","Communication Services","Electronic Gaming & Multimedia","USA",66961.62,44.43,85.22,-0.19%,6616563
47,"AVB","AvalonBay Communities, Inc.","Real Estate","REIT - Residential","USA",23270.77,20.75,168.19,1.12%,544582
48,"AVGO","Broadcom Inc.","Technology","Semiconductors","USA",262249.75,20.94,622.64,-1.01%,1448972
49,"AVY","Avery Dennison Corporation","Consumer Cyclical","Packaging & Containers","USA",14338.85,19.20,176.87,0.05%,497484
50,"AWK","American Water Works Company, Inc.","Utilities","Utilities - Regulated Water","USA",29236.90,33.71,151.88,1.11%,1059255
51,"AXP","American Express Company","Financial","Credit Services","USA",119854.71,16.15,158.83,-1.40%,3753965
52,"AZO","AutoZone, Inc.","Consumer Cyclical","Specialty Retail","USA",45881.23,20.72,2530.68,1.45%,142670
53,"BA","The Boeing Company","Industrials","Aerospace & Defense","USA",125826.44,,211.37,0.65%,5612186
54,"BAC","Bank of America Corporation","Financial","Banks - Diversified","USA",221100.27,8.74,27.84,0.72%,40992246
55,"BALL","Ball Corporation","Consumer Cyclical","Packaging & Containers","USA",16719.50,23.60,52.63,-1.03%,1931143
56,"BAX","Baxter International Inc.","Healthcare","Medical Instruments & Supplies","USA",21363.19,,42.30,0.09%,4393702
57,"BBWI","Bath & Body Works, Inc.","Consumer Cyclical","Specialty Retail","USA",8162.31,10.38,35.53,-0.42%,2805674
58,"BBY","Best Buy Co., Inc.","Consumer Cyclical","Specialty Retail","USA",16632.47,11.92,75.08,-1.57%,1791253
59,"BDX","Becton, Dickinson and Company","Healthcare","Medical Instruments & Supplies","USA",71318.29,49.21,254.69,1.20%,1369835
60,"BEN","Franklin Resources, Inc.","Financial","Asset Management","USA",13314.63,13.53,26.60,-0.04%,2673922
61,"BF-B","Brown-Forman Corporation","Consumer Defensive","Beverages - Wineries & Distilleries","USA",30328.07,41.41,62.66,-0.43%,1774607
62,"BG","Bunge Limited","Consumer Defensive","Farm Products","USA",13830.17,8.79,92.46,0.24%,1528413
63,"BIIB","Biogen Inc.","Healthcare","Drug Manufacturers - General","USA",41032.47,13.71,286.80,0.99%,737066
64,"BIO","Bio-Rad Laboratories, Inc.","Healthcare","Medical Devices","USA",13726.11,,466.24,0.53%,95581
65,"BK","The Bank of New York Mellon Corporation","Financial","Asset Management","USA",35889.42,15.47,44.85,-0.07%,3207341
66,"BKNG","Booking Holdings Inc.","Consumer Cyclical","Travel Services","USA",98470.53,33.18,2583.85,-1.21%,272674
67,"BKR","Baker Hughes Company","Energy","Oil & Gas Equipment & Services","USA",29384.69,,28.51,-1.83%,4583140
68,"BLK","BlackRock, Inc.","Financial","Asset Management","USA",98558.46,19.33,656.40,0.05%,441511
69,"BMY","Bristol-Myers Squibb Company","Healthcare","Drug Manufacturers - General","USA",146852.70,23.96,70.74,1.32%,9668409
70,"BR","Broadridge Financial Solutions, Inc.","Technology","Information Technology Services","USA",16581.12,31.45,141.20,0.23%,784934
71,"BRK-B","Berkshire Hathaway Inc.","Financial","Insurance - Diversified","USA",687834.14,,312.51,0.68%,3130855
72,"BRO","Brown & Brown, Inc.","Financial","Insurance Brokers","USA",16727.75,25.00,59.14,0.51%,799120
73,"BSX","Boston Scientific Corporation","Healthcare","Medical Devices","USA",72930.00,112.29,50.08,-1.30%,9622857
74,"BWA","BorgWarner Inc.","Consumer Cyclical","Auto Parts","USA",10847.59,11.54,46.06,-0.73%,2041154
75,"BXP","Boston Properties, Inc.","Real Estate","REIT - Office","USA",8237.93,9.84,53.10,1.09%,1351938
76,"C","Citigroup Inc.","Financial","Banks - Diversified","USA",89089.93,6.45,45.86,0.20%,11913182
77,"CAG","Conagra Brands, Inc.","Consumer Defensive","Packaged Foods","USA",18240.48,22.91,38.38,0.29%,4634284
78,"CAH","Cardinal Health, Inc.","Healthcare","Medical Distribution","USA",20461.94,,79.23,-0.24%,1855285
79,"CARR","Carrier Global Corporation","Industrials","Building Products & Equipment","USA",35151.29,10.22,41.80,-0.71%,4861873
80,"CAT","Caterpillar Inc.","Industrials","Farm & Heavy Construction Machinery","USA",110255.60,16.55,209.17,-2.04%,4177227
81,"CB","Chubb Limited","Financial","Insurance - Property & Casualty","Switzerland",81168.19,15.73,196.80,0.41%,1248211
82,"CBOE","Cboe Global Markets, Inc.","Financial","Financial Data & Stock Exchanges","USA",14313.39,62.31,136.02,0.29%,538257
83,"CBRE","CBRE Group, Inc.","Real Estate","Real Estate Services","USA",21717.35,16.46,70.31,0.33%,1432389
84,"CCI","Crown Castle Inc.","Real Estate","REIT - Specialty","USA",57990.13,34.83,134.42,0.52%,1149578
85,"CCL","Carnival Corporation & plc","Consumer Cyclical","Travel Services","USA",12053.72,,9.73,0.72%,28029305
86,"CDAY","Ceridian HCM Holding Inc.","Technology","Software - Application","USA",10586.65,,69.23,-0.14%,672274
87,"CDNS","Cadence Design Systems, Inc.","Technology","Software - Application","USA",56707.02,67.55,208.52,0.46%,1885651
88,"CDW","CDW Corporation","Technology","Information Technology Services","USA",25487.70,22.80,185.50,-1.31%,545168
89,"CE","Celanese Corporation","Basic Materials","Chemicals","USA",11838.25,6.09,106.03,-0.74%,690027
90,"CEG","Constellation Energy Corporation","Utilities","Utilities - Renewable","USA",25056.64,,76.96,0.60%,1222992
91,"CF","CF Industries Holdings, Inc.","Basic Materials","Agricultural Inputs","USA",14337.73,4.38,71.46,-2.32%,2295786
92,"CFG","Citizens Financial Group, Inc.","Financial","Banks - Regional","USA",13860.87,7.10,29.07,1.57%,5573715
93,"CHD","Church & Dwight Co., Inc.","Consumer Defensive","Household & Personal Products","USA",21894.09,53.97,90.61,1.00%,1264739
94,"CHRW","C.H. Robinson Worldwide, Inc.","Industrials","Integrated Freight & Logistics","USA",10854.44,12.71,92.67,-0.55%,867956
95,"CHTR","Charter Communications, Inc.","Communication Services","Telecom Services","USA",59717.53,11.39,350.27,-0.81%,765105
96,"CI","The Cigna Group","Healthcare","Healthcare Plans","USA",78974.18,12.41,265.29,-0.22%,1708914
97,"CINF","Cincinnati Financial Corporation","Financial","Insurance - Property & Casualty","USA",17491.10,,111.85,0.51%,575769
98,"CL","Colgate-Palmolive Company","Consumer Defensive","Household & Personal Products","USA",62709.96,35.63,75.68,0.42%,3261800
99,"CLX","The Clorox Company","Consumer Defensive","Household & Personal Products","USA",19445.50,44.93,157.76,0.22%,679491
100,"CMA","Comerica Incorporated","Financial","Banks - Regional","USA",5249.99,4.87,41.28,3.41%,2920259
101,"CMCSA","Comcast Corporation","Communication Services","Telecom Services","USA",159873.06,31.65,37.69,-0.61%,20358467
102,"CME","CME Group Inc.","Financial","Financial Data & Stock Exchanges","USA",70218.44,26.37,195.10,-0.05%,1370085
103,"CMG","Chipotle Mexican Grill, Inc.","Consumer Cyclical","Restaurants","USA",46882.54,52.56,1685.21,-0.72%,217657
104,"CMI","Cummins Inc.","Industrials","Specialty Industrial Machinery","USA",31187.71,14.58,220.33,-0.01%,861183
105,"CMS","CMS Energy Corporation","Utilities","Utilities - Regulated Electric","USA",18117.26,23.84,62.31,0.31%,1855847
106,"CNC","Centene Corporation","Healthcare","Healthcare Plans","USA",36230.45,32.47,66.02,0.35%,3807035
107,"CNP","CenterPoint Energy, Inc.","Utilities","Utilities - Regulated Electric","USA",19139.25,19.27,30.77,1.25%,4792126
108,"COF","Capital One Financial Corporation","Financial","Credit Services","USA",36270.85,5.33,94.93,0.09%,2045018
109,"COO","The Cooper Companies, Inc.","Healthcare","Medical Instruments & Supplies","USA",18477.25,49.29,372.30,-0.35%,286356
110,"COP","ConocoPhillips","Energy","Oil & Gas E&P","USA",130579.73,7.30,106.26,-1.38%,5086616
111,"COST","Costco Wholesale Corporation","Consumer Defensive","Discount Stores","USA",220469.69,35.71,485.98,-2.24%,4112354
112,"CPB","Campbell Soup Company","Consumer Defensive","Packaged Foods","USA",16638.78,20.54,55.47,-0.16%,1532885
113,"CPRT","Copart, Inc.","Consumer Cyclical","Auto & Truck Dealerships","USA",35591.57,33.13,74.38,-0.40%,1632232
114,"CPT","Camden Property Trust","Real Estate","REIT - Residential","USA",11042.58,17.33,104.56,1.03%,342073
115,"CRL","Charles River Laboratories International, Inc.","Healthcare","Diagnostics & Research","USA",10018.23,20.75,196.59,0.43%,508814
116,"CRM","Salesforce, Inc.","Technology","Software - Application","USA",195309.24,934.71,192.55,-1.41%,6302822
117,"CSCO","Cisco Systems, Inc.","Technology","Communication Equipment","USA",212245.50,18.78,51.27,-1.06%,14746425
118,"CSGP","CoStar Group, Inc.","Real Estate","Real Estate Services","USA",27558.65,73.74,68.36,0.90%,2071037
119,"CSX","CSX Corporation","Industrials","Railroads","USA",60413.75,15.41,30.02,2.49%,18372697
120,"CTAS","Cintas Corporation","Industrials","Specialty Business Services","USA",45927.39,36.23,451.73,-0.00%,238854
121,"CTLT","Catalent, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",11097.36,28.74,64.95,5.40%,1854502
122,"CTRA","Coterra Energy Inc.","Energy","Oil & Gas E&P","USA",19521.54,4.91,24.94,-1.85%,5165609
123,"CTSH","Cognizant Technology Solutions Corporation","Technology","Information Technology Services","USA",30893.95,13.68,60.42,-0.40%,3211884
124,"CTVA","Corteva, Inc.","Basic Materials","Agricultural Inputs","USA",43269.49,36.29,59.80,-1.52%,3045861
125,"CVS","CVS Health Corporation","Healthcare","Healthcare Plans","USA",99839.73,24.84,77.54,-0.27%,8777119
126,"CVX","Chevron Corporation","Energy","Oil & Gas Integrated","USA",323906.49,9.18,167.65,-1.31%,5797437
127,"CZR","Caesars Entertainment, Inc.","Consumer Cyclical","Resorts & Casinos","USA",9859.63,,45.29,-1.16%,2105450
128,"D","Dominion Energy, Inc.","Utilities","Utilities - Regulated Electric","USA",47951.76,54.72,58.06,1.13%,3196983
129,"DAL","Delta Air Lines, Inc.","Industrials","Airlines","USA",21455.81,16.44,33.69,0.69%,6282180
130,"DD","DuPont de Nemours, Inc.","Basic Materials","Specialty Chemicals","USA",32248.89,34.61,69.64,-1.02%,2888356
131,"DE","Deere & Company","Industrials","Farm & Heavy Construction Machinery","USA",110773.01,13.71,369.65,-1.12%,1846780
132,"DFS","Discover Financial Services","Financial","Credit Services","USA",25262.07,6.28,97.02,-0.39%,1770004
133,"DG","Dollar General Corporation","Consumer Defensive","Discount Stores","USA",46454.26,19.89,212.44,0.20%,1094676
134,"DGX","Quest Diagnostics Incorporated","Healthcare","Diagnostics & Research","USA",15953.98,18.05,142.88,-0.30%,886206
135,"DHI","D.R. Horton, Inc.","Consumer Cyclical","Residential Construction","USA",33443.39,5.93,95.64,-1.80%,3569568
136,"DHR","Danaher Corporation","Healthcare","Diagnostics & Research","USA",180599.38,25.56,246.96,-0.30%,2042866
137,"DIS","The Walt Disney Company","Communication Services","Entertainment","USA",182516.23,54.99,99.97,0.06%,7036901
138,"DISH","DISH Network Corporation","Communication Services","Telecom Services","USA",4530.67,2.43,8.77,2.81%,9192000
139,"DLR","Digital Realty Trust, Inc.","Real Estate","REIT - Specialty","USA",26277.86,78.93,90.93,0.80%,2686036
140,"DLTR","Dollar Tree, Inc.","Consumer Defensive","Discount Stores","USA",32896.11,20.69,149.04,0.23%,1404554
141,"DOV","Dover Corporation","Industrials","Specialty Industrial Machinery","USA",19971.28,19.48,141.57,-0.92%,945533
142,"DOW","Dow Inc.","Basic Materials","Chemicals","USA",38684.52,8.75,54.66,0.04%,5021797
143,"DPZ","Domino's Pizza, Inc.","Consumer Cyclical","Restaurants","USA",11629.80,26.33,330.58,0.67%,717002
144,"DRI","Darden Restaurants, Inc.","Consumer Cyclical","Restaurants","USA",18628.67,19.52,149.70,-2.20%,1282217
145,"DTE","DTE Energy Company","Utilities","Utilities - Regulated Electric","USA",23110.41,20.65,113.85,1.53%,1753914
146,"DUK","Duke Energy Corporation","Utilities","Utilities - Regulated Electric","USA",76170.44,20.39,99.74,0.91%,2879319
147,"DVA","DaVita Inc.","Healthcare","Medical Care Facilities","USA",7498.17,14.63,82.47,-0.57%,324141
148,"DVN","Devon Energy Corporation","Energy","Oil & Gas E&P","USA",35008.43,5.80,52.91,-1.16%,6233687
149,"DXC","DXC Technology Company","Technology","Information Technology Services","USA",5671.64,8.43,24.74,-0.68%,1553432
150,"DXCM","DexCom, Inc.","Healthcare","Medical Devices","USA",43595.62,140.41,112.47,-0.31%,1834680
151,"EA","Electronic Arts Inc.","Communication Services","Electronic Gaming & Multimedia","USA",34594.23,33.78,125.16,-0.78%,1990974
152,"EBAY","eBay Inc.","Consumer Cyclical","Internet Retail","USA",23542.18,,43.57,-0.64%,3629603
153,"ECL","Ecolab Inc.","Basic Materials","Specialty Chemicals","USA",47284.01,43.83,167.04,0.57%,1102448
154,"ED","Consolidated Edison, Inc.","Utilities","Utilities - Regulated Electric","USA",34127.83,21.20,98.97,0.47%,1578578
155,"EFX","Equifax Inc.","Industrials","Consulting Services","USA",24570.89,34.80,196.41,-1.50%,791730
156,"EIX","Edison International","Utilities","Utilities - Regulated Electric","USA",27648.99,45.55,72.56,0.42%,1349796
157,"EL","The Estee Lauder Companies Inc.","Consumer Defensive","Household & Personal Products","USA",85529.08,58.49,241.26,0.76%,1171472
158,"ELV","Elevance Health, Inc.","Healthcare","Healthcare Plans","USA",115000.32,19.51,483.54,-0.24%,815898
159,"EMN","Eastman Chemical Company","Basic Materials","Specialty Chemicals","USA",9757.73,12.86,80.93,-1.18%,948261
160,"EMR","Emerson Electric Co.","Industrials","Specialty Industrial Machinery","USA",47477.67,18.59,83.30,0.25%,2964922
161,"ENPH","Enphase Energy, Inc.","Technology","Solar","USA",26323.62,69.76,191.00,-1.38%,2898503
162,"EOG","EOG Resources, Inc.","Energy","Oil & Gas E&P","USA",70744.63,9.03,119.37,-0.83%,2842728
163,"EPAM","EPAM Systems, Inc.","Technology","Information Technology Services","USA",16295.06,40.44,286.28,1.33%,363341
164,"EQIX","Equinix, Inc.","Real Estate","REIT - Specialty","USA",65305.14,92.67,711.23,1.05%,272740
165,"EQR","Equity Residential","Real Estate","REIT - Residential","USA",22568.74,29.08,60.14,0.89%,1054552
166,"EQT","EQT Corporation","Energy","Oil & Gas E&P","USA",11747.57,9.77,32.12,-1.47%,5491046
167,"ES","Eversource Energy","Utilities","Utilities - Regulated Electric","USA",28075.25,19.97,80.82,0.37%,1175874
168,"ESS","Essex Property Trust, Inc.","Real Estate","REIT - Residential","USA",13500.96,33.38,209.74,0.14%,382144
169,"ETN","Eaton Corporation plc","Industrials","Specialty Industrial Machinery","Ireland",63151.56,25.44,156.25,-1.40%,2653185
170,"ETR","Entergy Corporation","Utilities","Utilities - Regulated Electric","USA",23451.29,20.61,110.97,0.36%,917114
171,"ETSY","Etsy, Inc.","Consumer Cyclical","Internet Retail","USA",13121.97,,104.06,-1.15%,3120459
172,"EVRG","Evergy, Inc.","Utilities","Utilities - Regulated Electric","USA",14498.47,19.38,63.29,0.22%,2094955
173,"EW","Edwards Lifesciences Corporation","Healthcare","Medical Devices","USA",50578.80,34.39,83.88,0.52%,1594874
174,"EXC","Exelon Corporation","Utilities","Utilities - Regulated Electric","USA",42685.38,20.70,43.06,0.30%,8745467
175,"EXPD","Expeditors International of Washington, Inc.","Industrials","Integrated Freight & Logistics","USA",16315.55,12.79,105.35,-0.27%,1280047
176,"EXPE","Expedia Group, Inc.","Consumer Cyclical","Travel Services","USA",14030.10,43.01,91.70,0.23%,1594436
177,"EXR","Extra Space Storage Inc.","Real Estate","REIT - Industrial","USA",13610.87,25.40,162.79,1.73%,2199524
178,"F","Ford Motor Company","Consumer Cyclical","Auto Manufacturers","USA",49719.49,,12.33,-0.80%,36311958
179,"FANG","Diamondback Energy, Inc.","Energy","Oil & Gas E&P","USA",26249.12,5.68,140.55,-1.70%,1682361
180,"FAST","Fastenal Company","Industrials","Industrial Distribution","USA",29410.01,27.27,51.48,-0.06%,3076479
181,"FCX","Freeport-McMoRan Inc.","Basic Materials","Copper","USA",57685.61,16.93,40.29,-0.07%,8094296
182,"FDS","FactSet Research Systems Inc.","Financial","Financial Data & Stock Exchanges","USA",15405.93,35.21,404.78,0.68%,205111
183,"FDX","FedEx Corporation","Industrials","Integrated Freight & Logistics","USA",57792.90,20.02,232.10,0.94%,3674541
184,"FE","FirstEnergy Corp.","Utilities","Utilities - Regulated Electric","USA",23835.72,58.82,41.70,0.22%,3634967
185,"FFIV","F5, Inc.","Technology","Software - Infrastructure","USA",8107.19,29.53,146.71,-0.33%,438735
186,"FIS","Fidelity National Information Services, Inc.","Technology","Information Technology Services","USA",31798.53,,55.43,3.18%,5721699
187,"FISV","Fiserv, Inc.","Technology","Information Technology Services","USA",70563.45,28.93,113.01,0.60%,2456059
188,"FITB","Fifth Third Bancorp","Financial","Banks - Regional","USA",17487.16,7.79,26.08,1.20%,8323633
189,"FLT","FLEETCOR Technologies, Inc.","Technology","Software - Infrastructure","USA",15247.87,16.72,207.68,0.10%,267029
190,"FMC","FMC Corporation","Basic Materials","Agricultural Inputs","USA",15252.21,17.79,116.92,-4.07%,1595865
191,"FOX","Fox Corporation","Communication Services","Entertainment","USA",17316.21,11.30,30.74,-0.90%,755582
192,"FOXA","Fox Corporation","Communication Services","Entertainment","USA",17469.60,12.31,33.45,-0.86%,2604121
193,"FRC","First Republic Bank","Financial","Banks - Regional","USA",2458.48,1.70,14.03,4.39%,23019504
194,"FRT","Federal Realty Investment Trust","Real Estate","REIT - Retail","USA",7957.01,21.14,97.74,0.12%,292373
195,"FSLR","First Solar, Inc.","Technology","Solar","USA",21536.95,,204.51,1.44%,1483562
196,"FTNT","Fortinet, Inc.","Technology","Software - Infrastructure","USA",51082.01,61.29,65.52,0.57%,2772170
197,"FTV","Fortive Corporation","Technology","Scientific & Technical Instruments","USA",22855.52,30.71,64.36,-0.54%,1617312
198,"GD","General Dynamics Corporation","Industrials","Aerospace & Defense","USA",62904.89,18.68,227.71,-0.55%,1511404
199,"GE","General Electric Company","Industrials","Specialty Industrial Machinery","USA",102758.76,172.38,93.60,-0.69%,6403418
200,"GEHC","GE HealthCare Technologies Inc.","Healthcare","Health Information Services","USA",36822.30,19.17,80.16,-1.18%,1356673
201,"GEN","Gen Digital Inc.","Technology","Software - Infrastructure","USA",10999.44,19.10,17.27,0.35%,2346163
202,"GILD","Gilead Sciences, Inc.","Healthcare","Drug Manufacturers - General","USA",104463.45,22.92,83.37,-0.33%,3724871
203,"GIS","General Mills, Inc.","Consumer Defensive","Packaged Foods","USA",51135.44,18.76,86.90,-0.18%,3556201
204,"GL","Globe Life Inc.","Financial","Insurance - Life","USA",10448.62,14.41,107.74,-0.47%,667556
205,"GLW","Corning Incorporated","Technology","Electronic Components","USA",29026.26,22.19,34.10,-0.47%,3104699
206,"GM","General Motors Company","Consumer Cyclical","Auto Manufacturers","USA",48937.93,5.64,34.59,-1.42%,10063192
207,"GNRC","Generac Holdings Inc.","Industrials","Specialty Industrial Machinery","USA",6161.65,18.43,99.80,0.23%,1412858
208,"GOOG","Alphabet Inc.","Communication Services","Internet Content & Information","USA",1391399.60,22.97,108.90,3.76%,34652327
209,"GOOGL","Alphabet Inc.","Communication Services","Internet Content & Information","USA",1340811.69,24.16,108.42,3.78%,48644205
210,"GPC","Genuine Parts Company","Consumer Cyclical","Specialty Retail","USA",22832.80,19.53,162.28,0.07%,859798
211,"GPN","Global Payments Inc.","Industrials","Specialty Business Services","USA",27415.33,241.61,105.10,1.13%,1567060
212,"GRMN","Garmin Ltd.","Technology","Scientific & Technical Instruments","Switzerland",18791.28,19.44,98.05,-0.15%,562273
213,"GS","The Goldman Sachs Group, Inc.","Financial","Capital Markets","USA",107323.73,10.72,322.40,0.27%,1310654
214,"GWW","W.W. Grainger, Inc.","Industrials","Industrial Distribution","USA",32480.83,21.19,641.66,-0.71%,318621
215,"HAL","Halliburton Company","Energy","Oil & Gas Equipment & Services","USA",29888.76,18.92,32.71,-1.06%,5831279
216,"HAS","Hasbro, Inc.","Consumer Cyclical","Leisure","USA",7199.06,35.62,51.93,-0.02%,932123
217,"HBAN","Huntington Bancshares Incorporated","Financial","Banks - Regional","USA",16004.05,7.72,11.19,1.36%,14405821
218,"HCA","HCA Healthcare, Inc.","Healthcare","Medical Care Facilities","USA",75221.31,14.06,270.59,-0.27%,912080
219,"HD","The Home Depot, Inc.","Consumer Cyclical","Home Improvement Retail","USA",292327.28,17.29,288.61,-0.02%,3192832
220,"HES","Hess Corporation","Energy","Oil & Gas E&P","USA",43541.78,20.81,140.88,-0.94%,1463271
221,"HIG","The Hartford Financial Services Group, Inc.","Financial","Insurance - Diversified","USA",21678.96,12.81,69.86,0.88%,1246141
222,"HII","Huntington Ingalls Industries, Inc.","Industrials","Aerospace & Defense","USA",8290.55,14.27,206.13,-0.74%,381125
223,"HLT","Hilton Worldwide Holdings Inc.","Consumer Cyclical","Lodging","USA",37167.10,30.99,140.63,0.82%,1294259
224,"HOLX","Hologic, Inc.","Healthcare","Medical Instruments & Supplies","USA",20239.38,21.13,82.86,0.94%,1214707
225,"HON","Honeywell International Inc.","Industrials","Conglomerates","USA",126566.39,26.19,190.46,0.54%,2781294
226,"HPE","Hewlett Packard Enterprise Company","Technology","Communication Equipment","USA",20617.37,24.67,15.86,-0.31%,6339030
227,"HPQ","HP Inc.","Technology","Computer Hardware","USA",28972.20,11.67,29.29,-0.41%,3965612
228,"HRL","Hormel Foods Corporation","Consumer Defensive","Packaged Foods","USA",22128.98,22.67,40.31,-0.44%,2743219
229,"HSIC","Henry Schein, Inc.","Healthcare","Medical Distribution","USA",11025.07,21.76,84.73,0.89%,890739
230,"HST","Host Hotels & Resorts, Inc.","Real Estate","REIT - Hotel & Motel","USA",11472.76,18.21,16.08,0.00%,4420975
231,"HSY","The Hershey Company","Consumer Defensive","Confectioners","USA",52932.92,32.65,259.87,0.17%,986235
232,"HUM","Humana Inc.","Healthcare","Healthcare Plans","USA",64569.87,23.60,519.97,0.72%,1057772
233,"HWM","Howmet Aerospace Inc.","Industrials","Aerospace & Defense","USA",17340.89,37.50,41.55,-1.33%,2736364
234,"IBM","International Business Machines Corporation","Technology","Information Technology Services","USA",119864.25,68.72,130.50,-1.24%,3049898
235,"ICE","Intercontinental Exchange, Inc.","Financial","Financial Data & Stock Exchanges","USA",59453.07,42.10,108.25,1.91%,3103542
