"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"A",2.63%,-2.04%,-9.26%,4.06%,3.58%,-7.76%,1.71%,2.31%,1.90,1431.21,0.81,138.03,-0.04%,1158389
2,"AAL",-3.18%,-15.55%,0.14%,8.86%,-21.47%,10.14%,2.60%,3.57%,2.90,24148.92,0.58,14.01,0.86%,14041168
3,"AAP",1.75%,-8.71%,-21.20%,-28.01%,-43.00%,-17.91%,1.87%,2.58%,2.70,1359.83,0.76,120.69,0.40%,1029565
4,"AAPL",1.42%,7.71%,31.71%,12.47%,-5.94%,26.73%,1.61%,2.01%,2.00,66838.40,0.68,164.66,0.55%,45337673
5,"ABBV",2.30%,7.99%,-1.19%,12.71%,-1.15%,-0.04%,1.38%,1.75%,2.40,6366.93,0.86,161.55,0.47%,5498027
6,"ABC",4.40%,9.54%,2.01%,16.78%,6.80%,0.39%,1.74%,1.87%,2.00,1289.90,0.66,166.35,-0.60%,857766
7,"ABT",5.90%,5.56%,-5.30%,1.50%,-12.18%,-4.43%,1.57%,1.75%,2.00,5289.12,0.96,104.93,0.69%,5065004
8,"ACGL",1.59%,-1.92%,9.53%,43.74%,45.17%,9.81%,2.09%,2.84%,1.80,2127.67,0.93,68.94,0.51%,1979161
9,"ACN",-0.34%,6.84%,7.12%,2.68%,-17.83%,5.57%,1.36%,2.29%,2.10,2423.09,0.88,281.70,0.13%,2125316
10,"ADBE",-0.34%,10.05%,15.88%,27.98%,-17.00%,13.10%,1.63%,2.46%,2.20,3068.33,0.60,380.60,-0.37%,1835767
11,"ADI",-3.62%,0.32%,17.21%,23.23%,17.00%,14.11%,2.16%,2.37%,2.00,3460.52,0.87,187.17,-1.68%,3008992
12,"ADM",-0.92%,-1.46%,-6.52%,-8.73%,-13.38%,-15.20%,1.77%,2.26%,2.30,3292.93,0.73,78.74,-0.84%,2413897
13,"ADP",-1.54%,-2.64%,-7.50%,-9.60%,-9.20%,-9.52%,1.75%,1.93%,3.00,2135.28,0.92,216.11,1.38%,1966560
14,"ADSK",-2.12%,-3.51%,8.39%,-3.52%,-6.72%,5.60%,2.88%,2.96%,2.10,1436.88,0.82,197.34,-0.11%,1174474
15,"AEE",4.19%,8.32%,4.73%,10.60%,-5.13%,1.29%,1.69%,2.29%,2.20,1436.83,1.07,90.07,0.90%,1543764
16,"AEP",4.93%,6.26%,1.18%,8.20%,-6.34%,-0.06%,1.87%,2.49%,2.50,3004.81,1.00,94.89,0.37%,2991524
17,"AES",3.52%,-1.29%,-5.68%,-4.01%,-5.94%,-15.16%,1.80%,2.70%,1.70,4372.13,1.08,24.40,1.24%,4738909
18,"AFL",0.42%,-2.36%,-9.71%,8.20%,1.24%,-10.26%,1.81%,2.27%,2.90,2698.71,0.87,64.56,0.16%,2355670
19,"AIG",2.53%,-10.93%,-19.57%,-0.43%,-18.21%,-19.23%,2.18%,3.40%,2.30,5453.41,0.63,51.08,1.67%,3438365
20,"AIZ",-0.27%,-3.06%,-6.21%,-22.12%,-34.94%,-5.38%,2.14%,2.91%,1.90,441.31,0.95,118.33,-0.37%,420111
21,"AJG",4.06%,4.44%,5.86%,8.59%,12.87%,4.68%,1.47%,1.96%,1.90,913.98,0.98,197.37,1.07%,895013
22,"AKAM",3.10%,6.06%,-6.74%,-7.57%,-34.46%,-6.38%,1.62%,1.92%,2.80,1712.44,0.63,78.92,1.95%,1079248
23,"ALB",-12.48%,-23.13%,-10.95%,-29.67%,-10.41%,-10.23%,3.10%,4.05%,2.40,1732.59,1.16,194.68,-1.03%,2013870
24,"ALGN",3.62%,-2.74%,47.00%,41.23%,-26.02%,53.22%,3.86%,3.61%,2.20,1044.46,0.59,323.14,1.93%,612973
25,"ALK",2.59%,-14.57%,-4.69%,-1.45%,-26.08%,-2.10%,2.03%,3.23%,1.80,1570.86,1.07,42.04,0.21%,1674085
26,"ALL",5.62%,-5.87%,-17.31%,-13.37%,-16.04%,-15.03%,2.51%,3.10%,2.20,1968.57,0.72,115.22,0.30%,1414450
27,"ALLE",-5.14%,-12.86%,-7.53%,3.83%,-9.53%,-5.34%,2.79%,2.69%,2.60,781.77,1.07,99.64,0.45%,836839
28,"AMAT",-6.27%,-3.54%,16.88%,28.28%,-5.97%,17.53%,2.63%,3.28%,2.20,6584.22,0.95,114.45,-2.45%,6265919
29,"AMCR",0.99%,2.74%,-5.62%,1.44%,-2.00%,-5.54%,1.53%,1.65%,3.00,8176.06,1.15,11.25,-0.53%,9398339
30,"AMD",-5.53%,8.32%,48.36%,36.11%,-13.43%,42.77%,2.69%,4.20%,2.00,62742.18,0.76,92.47,-0.10%,47732587
31,"AME",-5.31%,-3.92%,-1.98%,11.70%,2.63%,-3.20%,2.28%,2.19%,2.40,1032.76,1.14,135.25,-0.31%,1175833
32,"AMGN",4.89%,10.90%,-5.07%,8.34%,3.58%,-3.55%,1.55%,1.87%,2.70,2538.04,0.81,253.32,-0.02%,2047732
33,"AMP",-1.10%,-11.77%,-3.70%,7.62%,-0.41%,-4.51%,2.03%,3.02%,2.10,632.36,0.68,297.32,-0.39%,430825
34,"AMT",2.74%,5.58%,-2.56%,-3.48%,-21.39%,-2.44%,2.03%,2.82%,1.90,2124.08,0.60,206.69,0.98%,1273327
35,"AMZN",0.06%,8.67%,22.79%,-15.62%,-37.79%,21.50%,2.22%,3.07%,1.80,67079.28,0.65,102.06,0.95%,43751813
36,"ANET",-1.62%,7.72%,46.00%,31.73%,13.31%,31.73%,2.61%,2.90%,2.30,2554.59,1.05,159.85,-1.85%,2677310
37,"ANSS",-1.21%,6.43%,39.04%,37.74%,0.95%,33.32%,1.61%,2.05%,2.20,510.35,0.83,322.08,-0.38%,421756
38,"AON",2.89%,7.07%,7.22%,13.89%,-1.20%,7.30%,1.20%,1.91%,2.80,860.50,0.54,322.05,0.15%,465826
39,"AOS",-4.86%,-3.60%,8.79%,25.44%,-1.21%,12.86%,2.78%,2.51%,2.90,1190.45,0.97,64.60,-0.02%,1159084
40,"APA",7.60%,-1.09%,-8.84%,-6.05%,-8.68%,-18.44%,3.25%,4.48%,2.30,6193.82,0.82,38.07,0.21%,5084680
41,"APD",0.82%,-2.77%,-6.57%,16.14%,12.05%,-8.52%,1.86%,2.14%,2.30,1145.76,0.76,282.00,-0.66%,869163
42,"APH",-3.74%,-2.09%,1.23%,8.01%,4.37%,1.97%,1.56%,1.91%,2.30,2470.27,0.74,77.64,-0.53%,1816175
43,"APTV",-6.26%,-11.87%,7.47%,18.28%,-8.65%,10.62%,2.70%,2.94%,2.20,1830.36,0.90,103.02,-1.42%,1648412
44,"ARE",0.33%,-13.82%,-13.04%,-12.00%,-38.21%,-14.61%,2.12%,3.27%,1.70,1109.09,0.54,124.39,0.59%,603738
45,"ATO",3.11%,2.70%,6.02%,10.86%,-4.00%,2.99%,1.95%,2.32%,2.30,814.28,1.00,115.42,0.51%,811933
46,"ATVI",0.39%,7.22%,10.73%,14.99%,6.02%,11.33%,1.00%,1.40%,2.00,6698.86,0.99,85.22,-0.19%,6616563
47,"AVB",3.02%,-3.17%,6.46%,-7.85%,-32.57%,4.13%,1.99%,2.38%,2.70,885.74,0.61,168.19,1.12%,544582
48,"AVGO",-1.75%,-1.52%,12.18%,28.43%,1.39%,11.36%,1.64%,2.10%,2.00,2285.56,0.63,622.64,-1.01%,1448972
49,"AVY",1.56%,-0.74%,-3.41%,2.92%,0.83%,-2.28%,1.83%,2.18%,1.90,502.27,0.99,176.87,0.05%,497484
50,"AWK",4.11%,9.87%,-1.80%,13.85%,-9.40%,-0.35%,1.81%,2.39%,2.50,1229.45,0.86,151.88,1.11%,1059255
51,"AXP",-2.20%,-9.15%,8.47%,10.02%,-14.33%,7.50%,1.77%,2.43%,2.40,3670.57,1.02,158.83,-1.40%,3753965
52,"AZO",5.17%,2.89%,4.72%,12.70%,23.96%,2.62%,1.57%,1.66%,2.00,155.63,0.92,2530.68,1.45%,142670
53,"BA",0.16%,2.01%,3.11%,60.00%,15.72%,10.96%,2.29%,3.00%,2.10,6172.28,0.91,211.37,0.65%,5612186
54,"BAC",-1.63%,-14.50%,-18.29%,-12.78%,-30.64%,-15.94%,2.08%,3.62%,2.40,56966.67,0.72,27.84,0.72%,40992246
55,"BALL",-3.04%,-5.19%,-0.40%,3.32%,-41.35%,2.91%,2.05%,2.42%,2.70,1767.54,1.09,52.63,-1.03%,1931143
56,"BAX",4.94%,7.25%,-19.54%,-26.70%,-44.70%,-17.01%,2.54%,2.58%,2.50,6775.33,0.65,42.30,0.09%,4393702
57,"BBWI",-2.04%,-9.36%,-24.06%,0.23%,-24.26%,-15.69%,3.07%,3.93%,2.20,3034.41,0.92,35.53,-0.42%,2805674
58,"BBY",-0.32%,-7.48%,-7.89%,10.57%,-18.85%,-6.40%,2.22%,2.60%,3.00,2403.94,0.75,75.08,-1.57%,1791253
59,"BDX",3.88%,8.27%,-0.24%,7.54%,-3.14%,0.15%,1.39%,1.62%,2.20,1090.43,1.26,254.69,1.20%,1369835
60,"BEN",1.29%,-7.09%,-2.67%,14.07%,-3.80%,0.83%,1.72%,2.70%,3.50,4020.58,0.67,26.60,-0.04%,2673922
61,"BF-B",-1.38%,-1.29%,-1.69%,-7.02%,-7.38%,-4.60%,1.47%,1.72%,3.20,1303.77,1.36,62.66,-0.43%,1774607
62,"BG",-3.02%,-4.50%,-0.77%,5.38%,-17.37%,-7.33%,2.62%,3.40%,1.90,1914.36,0.80,92.46,0.24%,1528413
63,"BIIB",4.24%,9.04%,5.60%,9.60%,38.14%,3.57%,1.82%,2.04%,2.20,977.30,0.75,286.80,0.99%,737066
64,"BIO",-1.17%,-3.10%,8.33%,2.24%,-18.89%,10.88%,2.27%,2.84%,1.70,166.30,0.57,466.24,0.53%,95581
65,"BK",-0.11%,-9.94%,-5.00%,8.44%,-8.39%,-1.47%,1.86%,2.67%,2.20,5952.19,0.54,44.85,-0.07%,3207341
66,"BKNG",-0.99%,0.04%,20.46%,49.64%,12.44%,28.21%,1.81%,2.11%,2.40,327.57,0.83,2583.85,-1.21%,272674
67,"BKR",-0.83%,-9.29%,-1.01%,20.24%,-19.74%,-3.45%,2.55%,3.27%,2.00,6746.75,0.68,28.51,-1.83%,4583140
68,"BLK",-0.70%,-2.66%,-6.39%,12.56%,-14.13%,-7.37%,1.43%,2.17%,2.10,723.99,0.61,656.40,0.05%,441511
69,"BMY",3.72%,5.13%,-1.64%,-0.99%,-4.96%,-1.68%,1.78%,1.74%,2.40,8149.52,1.19,70.74,1.32%,9668409
70,"BR",-2.69%,-0.86%,6.15%,-6.22%,-11.48%,5.27%,1.78%,1.93%,2.70,570.19,1.38,141.20,0.23%,784934
71,"BRK-B",2.44%,0.37%,-0.12%,11.87%,-9.36%,1.17%,1.20%,1.75%,2.70,3866.96,0.81,312.51,0.68%,3130855
72,"BRO",4.45%,3.97%,3.61%,-7.17%,-18.27%,3.81%,1.53%,2.11%,2.50,1157.04,0.69,59.14,0.51%,799120
73,"BSX",0.97%,6.80%,9.44%,21.26%,12.92%,8.23%,1.46%,1.67%,1.80,7898.16,1.22,50.08,-1.30%,9622857
74,"BWA",-4.46%,-8.01%,9.67%,34.80%,24.22%,14.43%,2.21%,2.47%,2.30,2075.48,0.98,46.06,-0.73%,2041154
75,"BXP",-0.38%,-17.25%,-17.26%,-28.72%,-57.79%,-21.43%,2.98%,4.89%,2.60,1755.83,0.77,53.10,1.09%,1351938
76,"C",-0.46%,-9.51%,-1.90%,4.61%,-11.09%,1.39%,2.03%,3.07%,2.50,20235.60,0.59,45.86,0.20%,11913182
77,"CAG",2.65%,6.91%,-3.98%,13.55%,12.55%,-0.83%,1.89%,1.78%,2.60,4511.63,1.03,38.38,0.29%,4634284
78,"CAH",5.15%,9.06%,3.41%,14.18%,39.42%,3.07%,1.94%,2.16%,2.70,2566.62,0.72,79.23,-0.24%,1855285
79,"CARR",-7.30%,-11.80%,0.65%,9.42%,-6.15%,1.33%,3.31%,3.00%,2.40,4554.84,1.07,41.80,-0.71%,4861873
80,"CAT",-6.85%,-15.90%,-12.95%,17.26%,-3.17%,-12.69%,3.02%,2.78%,2.70,3408.82,1.23,209.17,-2.04%,4177227
81,"CB",1.75%,-3.23%,-11.97%,3.24%,-7.34%,-10.79%,1.61%,2.27%,2.20,1886.27,0.66,196.80,0.41%,1248211
82,"CBOE",2.80%,10.38%,9.90%,13.57%,20.18%,8.41%,1.49%,2.31%,2.50,701.04,0.77,136.02,0.29%,538257
83,"CBRE",-0.75%,-15.65%,-10.35%,-3.61%,-22.67%,-8.64%,2.36%,3.01%,2.00,1651.30,0.87,70.31,0.33%,1432389
84,"CCI",1.43%,3.37%,-4.50%,-7.44%,-29.71%,-0.90%,1.62%,2.59%,2.50,2010.89,0.57,134.42,0.52%,1149578
85,"CCL",-4.23%,-7.60%,8.72%,30.96%,-51.88%,20.72%,3.55%,5.10%,2.60,40723.19,0.69,9.73,0.72%,28029305
86,"CDAY",-1.31%,-4.37%,15.73%,12.48%,5.44%,7.92%,3.45%,3.37%,2.50,1198.45,0.56,69.23,-0.14%,672274
87,"CDNS",0.73%,4.63%,32.98%,22.88%,27.57%,29.81%,1.71%,2.14%,1.90,1754.86,1.07,208.52,0.46%,1885651
88,"CDW",-2.40%,-7.24%,4.18%,11.38%,4.91%,3.88%,1.82%,2.25%,2.00,830.77,0.66,185.50,-1.31%,545168
89,"CE",-0.34%,-10.11%,-4.36%,11.89%,-25.60%,3.71%,2.57%,3.15%,2.50,1136.47,0.61,106.03,-0.74%,690027
90,"CEG",0.18%,-1.42%,-6.61%,-12.71%,30.44%,-10.73%,2.12%,2.60%,2.20,2135.84,0.57,76.96,0.60%,1222992
91,"CF",-0.58%,-15.20%,-14.71%,-30.32%,-30.47%,-16.13%,2.42%,3.48%,2.40,2883.38,0.80,71.46,-2.32%,2295786
92,"CFG",-5.52%,-23.66%,-28.17%,-19.50%,-32.46%,-26.16%,3.88%,5.46%,2.10,6314.48,0.88,29.07,1.57%,5573715
93,"CHD",4.34%,8.32%,10.53%,24.96%,-10.20%,12.41%,1.46%,1.47%,2.80,1371.38,0.92,90.61,1.00%,1264739
94,"CHRW",-4.12%,-9.73%,2.96%,-7.00%,-8.71%,1.21%,2.72%,2.58%,3.20,1460.64,0.59,92.67,-0.55%,867956
95,"CHTR",0.35%,-1.02%,-3.09%,6.37%,-37.09%,3.29%,2.75%,3.02%,2.60,1138.23,0.67,350.27,-0.81%,765105
96,"CI",4.41%,-5.02%,-12.79%,-9.77%,8.24%,-19.93%,2.25%,2.56%,2.30,1793.59,0.95,265.29,-0.22%,1708914
97,"CINF",1.35%,-4.40%,4.86%,15.74%,-17.32%,9.24%,1.64%,2.79%,2.90,791.37,0.73,111.85,0.51%,575769
98,"CL",0.57%,5.17%,-3.64%,6.43%,-2.29%,-3.95%,1.26%,1.44%,2.60,4515.85,0.72,75.68,0.42%,3261800
99,"CLX",2.15%,4.33%,11.04%,19.80%,9.40%,12.42%,1.60%,1.63%,3.40,1225.31,0.55,157.76,0.22%,679491
100,"CMA",-6.31%,-38.66%,-37.51%,-45.48%,-53.50%,-38.25%,6.26%,12.48%,2.20,3416.45,0.85,41.28,3.41%,2920259
101,"CMCSA",1.45%,4.99%,1.92%,22.61%,-21.27%,7.78%,1.57%,1.91%,2.40,19334.68,1.05,37.69,-0.61%,20358467
102,"CME",3.27%,7.24%,14.93%,10.74%,-15.65%,16.02%,1.46%,2.26%,2.40,1912.92,0.72,195.10,-0.05%,1370085
103,"CMG",0.78%,9.92%,23.53%,10.89%,5.02%,21.46%,1.63%,1.92%,1.80,283.63,0.77,1685.21,-0.72%,217657
104,"CMI",-5.88%,-14.10%,-6.92%,-1.80%,10.12%,-9.06%,3.20%,2.66%,2.40,1062.17,0.81,220.33,-0.01%,861183
105,"CMS",1.83%,4.27%,-1.53%,6.46%,-12.38%,-1.61%,1.86%,2.46%,2.40,1928.03,0.96,62.31,0.31%,1855847
106,"CNC",2.95%,-1.32%,-14.55%,-18.30%,-22.17%,-19.50%,2.27%,2.47%,2.00,3929.38,0.97,66.02,0.35%,3807035
107,"CNP",4.87%,9.97%,6.18%,6.80%,-0.84%,2.60%,1.72%,2.44%,2.00,3926.89,1.22,30.77,1.25%,4792126
108,"COF",0.80%,-9.54%,1.01%,-4.05%,-27.21%,2.12%,2.40%,3.70%,2.70,3499.59,0.58,94.93,0.09%,2045018
109,"COO",1.31%,11.03%,9.71%,34.18%,-11.47%,12.59%,1.75%,2.48%,2.40,309.22,0.93,372.30,-0.35%,286356
110,"COP",7.06%,-0.29%,-8.44%,-7.20%,12.17%,-9.39%,2.40%,3.16%,2.00,6891.58,0.74,106.26,-1.38%,5086616
111,"COST",-1.12%,-0.01%,7.95%,1.18%,-15.53%,6.46%,1.43%,1.66%,2.10,1950.19,2.11,485.98,-2.24%,4112354
112,"CPB",1.97%,4.38%,-1.19%,16.56%,23.60%,-2.26%,1.28%,1.62%,3.30,2415.74,0.63,55.47,-0.16%,1532885
113,"CPRT",1.22%,4.44%,22.84%,31.89%,17.74%,22.15%,1.72%,1.87%,1.60,1964.18,0.83,74.38,-0.40%,1632232
114,"CPT",1.31%,-7.78%,-4.66%,-12.44%,-37.73%,-6.54%,1.68%,2.45%,2.20,903.95,0.38,104.56,1.03%,342073
115,"CRL",-0.73%,-10.15%,-10.67%,-8.75%,-31.90%,-9.78%,2.65%,3.52%,1.70,578.78,0.88,196.59,0.43%,508814
116,"CRM",-2.06%,5.25%,41.23%,23.25%,-8.37%,45.22%,1.81%,2.36%,2.10,8898.74,0.71,192.55,-1.41%,6302822
117,"CSCO",-0.31%,4.40%,9.36%,22.10%,-6.65%,7.62%,1.43%,1.69%,2.30,18282.83,0.81,51.27,-1.06%,14746425
118,"CSGP",0.31%,-2.84%,-8.73%,-8.12%,2.06%,-11.54%,1.44%,1.91%,1.80,2201.80,0.94,68.36,0.90%,2071037
119,"CSX",1.76%,-0.83%,-2.88%,7.91%,-14.89%,-3.10%,2.13%,2.34%,2.10,13921.50,1.32,30.02,2.49%,18372697
120,"CTAS",-3.40%,2.85%,4.20%,9.66%,4.71%,0.02%,1.36%,1.97%,2.40,352.51,0.68,451.73,-0.00%,238854
121,"CTLT",0.43%,-6.94%,40.68%,-19.81%,-42.25%,44.30%,3.79%,4.19%,2.10,2310.40,0.80,64.95,5.40%,1854502
122,"CTRA",3.74%,0.66%,6.96%,-10.38%,1.04%,3.04%,2.23%,3.41%,2.70,9433.35,0.55,24.94,-1.85%,5165609
123,"CTSH",1.02%,-1.80%,4.95%,-0.35%,-30.39%,5.65%,1.75%,2.04%,3.10,4698.57,0.68,60.42,-0.40%,3211884
124,"CTVA",-0.25%,-3.86%,1.29%,-2.80%,2.61%,1.74%,1.43%,2.15%,2.20,3591.15,0.85,59.80,-1.52%,3045861
125,"CVS",3.80%,-2.84%,-14.27%,-22.81%,-22.04%,-16.79%,1.74%,2.02%,2.20,9285.62,0.95,77.54,-0.27%,8777119
126,"CVX",3.24%,2.86%,-4.33%,5.75%,2.63%,-6.60%,1.45%,2.59%,2.60,9005.36,0.64,167.65,-1.31%,5797437
127,"CZR",-3.37%,-15.11%,6.64%,17.58%,-41.30%,8.87%,4.31%,4.48%,2.20,3054.63,0.69,45.29,-1.16%,2105450
128,"D",4.26%,5.64%,-5.53%,-15.87%,-32.56%,-5.32%,1.78%,2.34%,2.80,4833.01,0.66,58.06,1.13%,3196983
129,"DAL",-1.23%,-15.20%,-4.37%,10.39%,-13.68%,2.53%,2.29%,3.11%,1.60,10107.64,0.62,33.69,0.69%,6282180
130,"DD",-1.40%,-3.41%,-1.74%,27.87%,-4.60%,1.47%,1.85%,2.15%,2.20,3205.18,0.90,69.64,-1.02%,2888356
131,"DE",-8.43%,-12.88%,-10.87%,3.90%,-10.65%,-13.79%,3.34%,2.72%,2.10,1569.74,1.18,369.65,-1.12%,1846780
132,"DFS",-1.12%,-12.28%,-2.54%,0.35%,-12.40%,-0.83%,1.74%,3.04%,2.50,2522.29,0.70,97.02,-0.39%,1770004
133,"DG",2.29%,-2.40%,-13.44%,-12.47%,-7.38%,-13.73%,1.43%,1.93%,2.20,2053.03,0.53,212.44,0.20%,1094676
134,"DGX",2.58%,4.50%,-7.52%,11.83%,6.89%,-8.67%,1.39%,1.91%,2.60,1195.36,0.74,142.88,-0.30%,886206
135,"DHI",0.43%,1.97%,3.61%,31.36%,29.16%,7.29%,2.17%,2.63%,2.40,3001.26,1.19,95.64,-1.80%,3569568
136,"DHR",-1.14%,-0.32%,-3.24%,-12.52%,-14.06%,-6.96%,1.56%,1.95%,2.00,2593.17,0.79,246.96,-0.30%,2042866
137,"DIS",1.91%,0.67%,8.76%,-0.82%,-26.29%,15.07%,1.59%,2.18%,2.00,10625.24,0.66,99.97,0.06%,7036901
138,"DISH",-2.66%,-21.70%,-41.61%,-41.69%,-72.35%,-37.54%,6.27%,5.64%,2.50,6594.67,1.39,8.77,2.81%,9192000
139,"DLR",-2.72%,-14.05%,-7.29%,-8.15%,-37.89%,-9.31%,3.67%,3.61%,2.40,2308.09,1.16,90.93,0.80%,2686036
140,"DLTR",5.84%,5.17%,4.55%,4.40%,-4.30%,5.37%,1.46%,2.29%,2.50,2311.88,0.61,149.04,0.23%,1404554
141,"DOV",-4.44%,-7.15%,5.32%,14.10%,-8.02%,4.55%,2.46%,2.60%,2.30,891.23,1.06,141.57,-0.92%,945533
142,"DOW",1.22%,-2.84%,3.31%,18.67%,-13.91%,8.47%,1.99%,2.39%,2.80,5255.93,0.96,54.66,0.04%,5021797
143,"DPZ",0.89%,5.91%,-2.43%,-1.36%,-15.49%,-4.57%,1.72%,2.17%,2.50,834.19,0.86,330.58,0.67%,717002
144,"DRI",-2.72%,2.72%,3.74%,12.47%,15.58%,8.22%,1.40%,1.99%,2.00,1290.26,0.99,149.70,-2.20%,1282217
145,"DTE",4.75%,6.07%,-2.34%,-1.95%,-15.22%,-3.13%,1.70%,2.30%,2.00,1250.41,1.40,113.85,1.53%,1753914
146,"DUK",3.72%,5.36%,-3.41%,6.08%,-11.36%,-3.16%,1.82%,2.15%,2.50,3135.71,0.92,99.74,0.91%,2879319
147,"DVA",3.89%,3.89%,5.06%,-7.61%,-27.80%,10.45%,1.89%,2.45%,3.00,659.86,0.49,82.47,-0.57%,324141
148,"DVN",6.14%,-1.56%,-10.83%,-22.89%,-4.62%,-12.78%,2.62%,3.62%,2.20,10617.90,0.59,52.91,-1.16%,6233687
149,"DXC",-1.28%,-9.74%,-10.56%,-9.41%,-19.60%,-6.64%,2.08%,2.96%,2.70,1676.33,0.93,24.74,-0.68%,1553432
150,"DXCM",-1.69%,-0.24%,0.70%,23.48%,-12.88%,-0.68%,2.09%,2.91%,1.60,2461.07,0.75,112.47,-0.31%,1834680
151,"EA",5.09%,11.47%,0.38%,2.03%,-0.56%,2.44%,1.74%,1.64%,2.20,2602.52,0.77,125.16,-0.78%,1990974
152,"EBAY",-0.77%,-1.56%,1.09%,11.38%,-22.75%,5.06%,1.44%,2.21%,2.70,4874.68,0.74,43.57,-0.64%,3629603
153,"ECL",2.30%,4.57%,15.34%,10.39%,-7.30%,14.76%,1.54%,1.90%,2.50,1200.82,0.92,167.04,0.57%,1102448
154,"ED",4.49%,7.94%,3.86%,14.68%,2.93%,3.84%,1.60%,2.19%,3.30,1879.17,0.84,98.97,0.47%,1578578
155,"EFX",-1.64%,-1.77%,-0.85%,9.13%,-15.29%,1.05%,1.75%,2.34%,2.40,797.27,0.99,196.41,-1.50%,791730
156,"EIX",3.66%,6.25%,11.82%,20.75%,3.23%,14.05%,1.85%,2.37%,2.60,2094.58,0.64,72.56,0.42%,1349796
157,"EL",-2.21%,-2.91%,-7.62%,6.64%,-11.52%,-2.76%,2.12%,2.21%,2.10,1427.80,0.82,241.26,0.76%,1171472
158,"ELV",5.36%,3.61%,2.23%,0.99%,-2.27%,-5.74%,1.86%,2.36%,1.80,1136.03,0.72,483.54,-0.24%,815898
159,"EMN",-2.31%,-4.21%,-5.55%,5.68%,-26.41%,-0.63%,2.17%,2.88%,2.50,1041.81,0.91,80.93,-1.18%,948261
160,"EMR",-2.68%,-2.71%,-12.33%,4.43%,-13.73%,-13.28%,2.29%,2.17%,2.40,3605.91,0.82,83.30,0.25%,2964922
161,"ENPH",-6.95%,-12.51%,-20.54%,-26.99%,-9.58%,-27.91%,4.49%,5.59%,2.10,4268.54,0.68,191.00,-1.38%,2898503
162,"EOG",5.13%,2.24%,-3.14%,-3.31%,6.18%,-6.98%,2.32%,3.43%,1.90,4002.12,0.71,119.37,-0.83%,2842728
163,"EPAM",-2.52%,-6.64%,-8.68%,-22.87%,1.38%,-12.65%,2.65%,2.97%,1.80,449.79,0.81,286.28,1.33%,363341
164,"EQIX",1.31%,2.48%,7.66%,22.96%,-6.71%,8.58%,2.19%,2.31%,2.00,403.10,0.68,711.23,1.05%,272740
165,"EQR",2.75%,-2.91%,4.65%,-9.60%,-33.77%,1.93%,2.00%,2.36%,2.70,2299.82,0.46,60.14,0.89%,1054552
166,"EQT",2.65%,-0.12%,0.12%,-29.16%,-11.34%,-5.05%,3.57%,4.41%,2.10,6966.46,0.79,32.12,-1.47%,5491046
167,"ES",3.47%,7.88%,-3.50%,2.43%,-10.29%,-3.60%,1.77%,2.34%,2.40,1803.58,0.65,80.82,0.37%,1175874
168,"ESS",2.72%,-9.75%,1.87%,-11.26%,-39.90%,-1.03%,1.89%,2.56%,2.80,545.62,0.70,209.74,0.14%,382144
169,"ETN",-7.59%,-11.83%,-0.60%,8.13%,6.58%,-0.45%,2.69%,2.60%,2.20,2048.92,1.29,156.25,-1.40%,2653185
170,"ETR",3.73%,6.95%,7.05%,5.78%,-8.52%,-1.36%,1.64%,2.18%,2.10,1421.90,0.64,110.97,0.36%,917114
171,"ETSY",-4.34%,-8.06%,-12.96%,-7.36%,-20.08%,-13.12%,4.09%,4.18%,2.40,3264.63,0.96,104.06,-1.15%,3120459
172,"EVRG",4.70%,7.64%,0.48%,5.20%,-8.38%,0.57%,1.97%,2.24%,2.60,1432.43,1.46,63.29,0.22%,2094955
173,"EW",2.83%,8.55%,11.57%,-4.07%,-30.23%,12.42%,1.44%,2.34%,2.40,3541.35,0.45,83.88,0.52%,1594874
174,"EXC",3.88%,4.39%,0.65%,11.27%,-9.92%,-0.39%,1.62%,2.32%,2.20,7323.94,1.19,43.06,0.30%,8745467
175,"EXPD",-1.60%,-4.98%,0.41%,16.06%,8.15%,1.38%,2.33%,2.50%,3.30,1423.63,0.90,105.35,-0.27%,1280047
176,"EXPE",-4.61%,-14.48%,-1.40%,-7.36%,-51.85%,4.68%,2.58%,3.24%,2.40,2671.03,0.60,91.70,0.23%,1594436
177,"EXR",2.49%,-0.58%,15.42%,-8.60%,-20.77%,10.61%,2.66%,2.97%,2.50,1323.76,1.66,162.79,1.73%,2199524
178,"F",0.33%,-5.01%,5.75%,3.55%,-18.12%,11.39%,2.34%,3.54%,2.80,70715.01,0.51,12.33,-0.80%,36311958
179,"FANG",5.44%,-1.36%,6.44%,3.30%,10.13%,4.31%,2.64%,3.44%,2.00,2459.43,0.68,140.55,-1.70%,1682361
180,"FAST",-2.54%,-2.78%,11.19%,6.96%,-13.22%,8.79%,2.48%,2.28%,2.90,3320.30,0.93,51.48,-0.06%,3076479
181,"FCX",0.22%,-0.62%,1.30%,32.62%,-17.21%,6.20%,2.30%,3.24%,2.40,13005.48,0.62,40.29,-0.07%,8094296
182,"FDS",-1.44%,-0.80%,2.85%,-4.49%,-8.17%,0.89%,2.07%,2.60%,2.80,242.18,0.85,404.78,0.68%,205111
