"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
373,"PKI",1.96%,7.56%,-3.77%,1.69%,-19.62%,-4.74%,2.10%,2.50%,2.40,877.79,0.68,133.57,0.16%,600143
374,"PLD",0.68%,-1.85%,8.77%,16.42%,-26.18%,8.89%,1.82%,2.67%,1.80,3046.78,0.69,122.75,0.39%,2104836
375,"PM",2.49%,-0.72%,-1.78%,13.87%,3.52%,-2.15%,1.13%,1.67%,2.20,4684.55,0.74,99.03,0.29%,3469407
376,"PNC",-4.05%,-16.02%,-23.52%,-23.46%,-33.18%,-22.83%,2.93%,4.35%,2.50,3459.57,1.00,121.88,0.37%,3463885
377,"PNR",-2.18%,-5.70%,13.93%,23.68%,-2.43%,16.92%,2.69%,2.70%,2.50,1704.69,0.86,52.59,0.52%,1471480
378,"PNW",1.52%,4.19%,9.02%,22.97%,2.28%,5.59%,1.77%,2.50%,3.10,961.68,1.24,80.29,-0.42%,1197185
379,"PODD",0.27%,11.02%,11.03%,29.64%,17.39%,7.92%,1.73%,2.91%,2.20,835.29,0.47,317.72,0.58%,391003
380,"POOL",-2.64%,-8.50%,7.68%,-1.39%,-24.75%,7.92%,2.80%,2.73%,2.50,429.07,1.03,326.26,1.38%,443085
381,"PPG",6.35%,5.23%,12.15%,14.84%,4.27%,9.81%,1.85%,2.33%,2.50,1492.33,0.98,138.07,-0.63%,1461668
382,"PPL",3.63%,5.74%,-2.36%,9.30%,-0.56%,-2.29%,1.62%,2.27%,2.10,5734.50,0.79,28.55,0.60%,4524947
383,"PRU",1.97%,-12.00%,-16.17%,-11.08%,-28.66%,-16.19%,2.00%,3.32%,3.10,2400.23,0.80,83.36,0.63%,1921372
384,"PSA",5.48%,3.30%,14.57%,5.74%,-18.27%,10.92%,2.23%,2.62%,2.10,1115.56,0.89,310.79,1.15%,990141
385,"PSX",2.85%,3.55%,-0.17%,11.05%,19.71%,-1.19%,4.01%,3.47%,2.30,3754.39,1.01,102.84,-1.52%,3807671
386,"PTC",-0.31%,2.14%,4.36%,11.60%,19.29%,4.37%,1.35%,1.97%,2.00,719.15,0.74,125.29,-0.67%,528987
387,"PWR",-4.44%,-2.03%,17.38%,18.27%,22.31%,11.67%,2.07%,2.51%,1.90,939.33,0.72,159.13,-0.49%,679276
388,"PXD",3.02%,1.88%,-6.35%,-13.70%,-6.37%,-6.87%,1.99%,3.18%,2.20,2649.35,0.64,208.16,-1.06%,1693671
389,"PYPL",0.77%,-1.16%,-1.72%,-20.11%,-36.29%,5.25%,2.40%,3.00%,2.10,12748.63,0.82,74.96,1.83%,10517540
390,"QCOM",-3.45%,1.49%,12.43%,-1.51%,-15.44%,11.88%,2.25%,2.71%,2.20,7708.42,0.68,123.00,-0.03%,5258569
391,"QRVO",-6.10%,-6.51%,4.92%,8.45%,-19.68%,4.51%,2.54%,3.03%,2.90,1318.71,1.46,94.73,-0.28%,1930834
392,"RCL",-5.32%,-15.12%,14.80%,40.97%,-26.56%,23.97%,2.97%,3.92%,2.20,3825.13,0.81,61.28,-1.15%,3083264
393,"RE",1.68%,-5.24%,5.83%,32.28%,21.15%,9.31%,1.99%,3.04%,1.90,294.68,0.86,362.10,-0.25%,252222
394,"REG",1.33%,-2.68%,-3.19%,8.26%,-14.53%,-3.52%,1.84%,2.36%,2.30,954.07,0.62,60.30,0.07%,594526
395,"REGN",2.12%,11.21%,14.50%,11.14%,19.85%,14.86%,1.40%,1.97%,2.10,649.11,0.85,828.73,0.43%,549988
396,"RF",0.16%,-15.62%,-15.27%,-13.27%,-13.88%,-14.84%,2.56%,6.75%,2.30,11888.27,0.55,18.36,0.38%,6509222
397,"RHI",-5.05%,-8.13%,-0.27%,-7.09%,-34.25%,0.24%,3.05%,2.77%,3.20,1011.73,0.80,74.01,-1.37%,813381
398,"RJF",-3.08%,-16.13%,-16.69%,-17.38%,-17.82%,-16.38%,2.50%,3.47%,2.20,1588.11,0.84,89.35,-0.48%,1333300
399,"RL",-1.94%,-3.60%,-2.10%,19.19%,1.29%,6.05%,2.24%,2.63%,2.60,939.84,0.88,112.06,-1.56%,825837
400,"RMD",2.73%,3.36%,8.18%,-4.28%,-9.63%,6.59%,1.09%,1.77%,2.20,632.18,0.58,221.85,0.32%,368730
401,"ROK",-5.35%,-9.97%,5.25%,15.95%,-2.49%,5.66%,2.53%,2.62%,2.80,706.69,0.78,272.15,-0.37%,551776
402,"ROL",4.25%,10.71%,6.80%,5.73%,11.28%,6.13%,1.46%,1.53%,2.60,1355.96,0.85,38.78,0.57%,1154279
403,"ROP",-0.30%,2.64%,-0.05%,14.52%,-8.61%,0.84%,1.18%,1.71%,2.20,577.66,0.63,435.70,-0.39%,363451
404,"ROST",3.00%,-2.59%,-10.29%,18.26%,14.03%,-8.49%,2.06%,2.26%,2.00,2402.00,0.71,106.22,-0.23%,1709010
