"No.","Ticker","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Price","Change","Volume"
83,"CBRE",21717.35,16.46,12.12,1.50,0.70,2.81,16.47,15.86,-20.60%,16.73%,11.70%,11.00%,10.60%,70.31,0.33%,1432389
84,"CCI",57990.13,34.83,37.73,,8.30,7.82,371.73,,44.60%,-5.82%,35.60%,-3.23%,10.40%,134.42,0.52%,1149578
85,"CCL",12053.72,,12.59,,0.80,1.99,,,39.00%,365.50%,-28.00%,,-7.00%,9.73,0.72%,28029305
86,"CDAY",10586.65,,42.60,,8.50,5.04,24.51,94.19,4.30%,30.10%,17.70%,37.30%,13.20%,69.23,-0.14%,672274
87,"CDNS",56707.02,67.55,37.30,3.82,15.92,20.48,64.27,50.69,23.70%,12.22%,51.80%,17.68%,12.90%,208.52,0.46%,1885651
88,"CDW",25487.70,22.80,16.29,1.57,1.07,15.68,80.86,27.54,15.60%,9.57%,23.50%,14.54%,9.90%,185.50,-1.31%,545168
89,"CE",11838.25,6.09,7.31,2.28,1.22,2.04,,12.09,2.10%,21.21%,20.50%,2.67%,9.50%,106.03,-0.74%,690027
90,"CEG",25056.64,,14.98,,1.11,2.33,21.02,,-134.70%,27.75%,,21.70%,,76.96,0.60%,1222992
91,"CF",14337.73,4.38,8.65,,1.28,2.78,6.17,4.63,286.30%,-24.14%,98.50%,,22.10%,71.46,-2.32%,2295786
92,"CFG",13860.87,7.10,5.93,8.36,1.96,0.66,1.19,4.31,-20.50%,0.25%,9.60%,0.85%,7.50%,29.07,1.57%,5573715
93,"CHD",21894.09,53.97,27.30,6.91,4.07,6.39,81.00,48.50,-49.30%,8.32%,-1.80%,7.81%,7.30%,90.61,1.00%,1264739
94,"CHRW",10854.44,12.71,18.08,13.17,0.44,8.13,49.91,8.33,17.30%,12.02%,16.20%,0.96%,10.70%,92.67,-0.55%,867956
95,"CHTR",59717.53,11.39,8.79,0.65,1.11,5.89,92.59,10.76,25.60%,16.81%,62.10%,17.66%,5.40%,350.27,-0.81%,765105
96,"CI",78974.18,12.41,9.39,1.10,0.44,1.78,13.33,13.21,35.40%,14.21%,17.10%,11.27%,33.80%,265.29,-0.22%,1708914
97,"CINF",17491.10,,18.68,,2.67,1.67,13.84,10.84,-116.90%,12.77%,-23.90%,-1.30%,2.70%,111.85,0.51%,575769
98,"CL",62709.96,35.63,22.27,7.06,3.49,157.67,66.01,371.06,-16.70%,9.37%,-3.80%,5.05%,3.10%,75.68,0.42%,3261800
99,"CLX",19445.50,44.93,29.32,3.56,2.75,60.68,115.75,135.04,-33.10%,25.75%,-6.90%,12.61%,3.50%,157.76,0.22%,679491
100,"CMA",5249.99,4.87,4.55,,1.96,1.13,0.82,25.86,1.40%,-0.87%,12.20%,-10.70%,4.10%,41.28,3.41%,2920259
101,"CMCSA",159873.06,31.65,9.22,4.94,1.32,1.99,33.66,14.47,-60.20%,12.27%,-10.40%,6.40%,7.40%,37.69,-0.61%,20358467
102,"CME",70218.44,26.37,22.19,6.73,13.99,2.61,24.93,210.99,1.50%,3.10%,-8.70%,3.92%,6.60%,195.10,-0.05%,1370085
103,"CMG",46882.54,52.56,32.91,2.16,5.43,19.70,52.14,55.55,39.90%,21.97%,39.00%,24.36%,14.00%,1685.21,-0.72%,217657
104,"CMI",31187.71,14.58,11.46,1.53,1.11,3.47,12.12,163.29,3.50%,2.34%,7.30%,9.50%,6.60%,220.33,-0.01%,861183
105,"CMS",18117.26,23.84,18.62,2.98,2.11,2.66,110.47,,8.70%,7.87%,3.80%,8.00%,5.50%,62.31,0.31%,1855847
106,"CNC",36230.45,32.47,9.25,3.08,0.25,1.54,3.00,6.91,-9.50%,11.86%,0.80%,10.55%,24.50%,66.02,0.35%,3807035
107,"CNP",19139.25,19.27,19.04,,2.05,2.09,32.77,,69.80%,8.38%,0.40%,-1.07%,-0.60%,30.77,1.25%,4792126
108,"COF",36270.85,5.33,6.24,,1.16,0.76,1.18,3.04,-33.50%,6.48%,19.20%,-6.60%,4.40%,94.93,0.09%,2045018
109,"COO",18477.25,49.29,25.90,4.93,5.47,2.51,156.32,43.62,-86.90%,12.57%,0.60%,10.00%,9.10%,372.30,-0.35%,286356
110,"COP",130579.73,7.30,9.91,,1.66,2.74,14.13,10.51,140.30%,5.96%,65.60%,-10.12%,21.60%,106.26,-1.38%,5086616
111,"COST",220469.69,35.71,31.01,3.85,0.94,9.46,16.09,56.14,16.60%,8.29%,16.70%,9.28%,12.00%,485.98,-2.24%,4112354
112,"CPB",16638.78,20.54,17.65,3.78,1.81,4.61,105.31,38.69,-24.20%,4.39%,-3.60%,5.44%,8.00%,55.47,-0.16%,1532885
113,"CPRT",35591.57,33.13,28.25,1.49,9.69,6.80,,44.94,16.00%,10.21%,22.10%,22.30%,19.30%,74.38,-0.40%,1632232
114,"CPT",11042.58,17.33,58.06,0.69,7.76,2.27,1032.02,,103.80%,15.30%,23.30%,25.29%,9.60%,104.56,1.03%,342073
115,"CRL",10018.23,20.75,16.09,2.17,2.52,3.36,42.65,33.97,24.70%,19.59%,17.90%,9.56%,16.40%,196.59,0.43%,508814
116,"CRM",195309.24,934.71,21.68,47.78,6.23,3.25,15.61,30.94,-85.90%,24.67%,-20.60%,19.56%,24.40%,192.55,-1.41%,6302822
117,"CSCO",212245.50,18.78,12.73,2.57,3.99,5.07,9.62,23.06,12.70%,7.30%,8.20%,7.32%,1.40%,51.27,-1.06%,14746425
118,"CSGP",27558.65,73.74,49.14,3.69,12.63,4.02,5.55,62.15,25.10%,27.85%,21.90%,20.00%,17.70%,68.36,0.90%,2071037
119,"CSX",60413.75,15.41,14.76,1.69,4.07,4.94,28.95,22.94,16.00%,8.89%,22.10%,9.13%,5.40%,30.02,2.49%,18372697
120,"CTAS",45927.39,36.23,31.76,2.99,5.34,13.38,511.44,,13.80%,10.75%,22.80%,12.11%,8.10%,451.73,-0.00%,238854
121,"CTLT",11097.36,28.74,18.45,3.97,2.33,2.39,23.61,,-9.20%,11.78%,26.70%,7.24%,18.40%,64.95,5.40%,1854502
122,"CTRA",19521.54,4.91,8.23,,2.16,1.54,29.01,5.65,121.00%,16.30%,79.40%,-11.26%,38.70%,24.94,-1.85%,5165609
123,"CTSH",30893.95,13.68,12.45,2.49,1.59,2.51,12.35,18.48,9.00%,8.88%,4.40%,5.50%,5.60%,60.42,-0.40%,3211884
124,"CTVA",43269.49,36.29,17.24,2.69,2.48,1.69,13.05,,-31.90%,20.49%,-13.20%,13.49%,4.40%,59.80,-1.52%,3045861
125,"CVS",99839.73,24.84,8.55,4.23,0.31,1.43,6.35,9.47,-47.30%,2.87%,-8.90%,5.87%,11.80%,77.54,-0.27%,8777119
126,"CVX",323906.49,9.18,11.39,,1.37,2.01,18.09,12.15,124.60%,1.90%,37.10%,-7.68%,11.80%,167.65,-1.31%,5797437
127,"CZR",9859.63,,18.93,,0.91,2.61,9.50,428.68,48.90%,160.96%,-33.50%,27.50%,48.90%,45.29,-1.16%,2105450
128,"D",47951.76,54.72,15.19,9.77,2.79,1.85,,,-66.10%,-3.85%,-20.40%,5.60%,6.40%,58.06,1.13%,3196983
129,"DAL",21455.81,16.44,4.89,0.52,0.42,3.26,3.28,4.78,370.70%,28.89%,-16.20%,31.66%,4.20%,33.69,0.69%,6282180
130,"DD",32248.89,34.61,15.91,2.58,2.48,1.25,6.50,,-4.90%,16.10%,26.40%,13.44%,2.20%,69.64,-1.02%,2888356
131,"DE",110773.01,13.71,11.51,1.00,2.00,5.16,27.86,32.36,22.60%,5.32%,28.40%,13.70%,11.90%,369.65,-1.12%,1846780
132,"DFS",25262.07,6.28,6.86,,1.96,1.94,2.85,4.03,-13.20%,4.56%,21.10%,,5.90%,97.02,-0.39%,1770004
133,"DG",46454.26,19.89,16.92,2.28,1.23,8.48,121.74,,4.90%,11.68%,18.90%,8.71%,10.00%,212.44,0.20%,1094676
