"No.","Ticker","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Price","Change","Volume"
356,"OTIS",32936.76,26.50,20.55,3.01,2.41,,27.70,33.61,2.60%,10.89%,15.10%,8.80%,2.10%,78.49,-1.13%,1826232
357,"OXY",57991.13,5.07,11.12,,1.58,2.81,58.93,5.21,501.30%,5.17%,49.10%,,23.80%,63.04,-2.37%,10470623
358,"PARA",13806.30,21.11,12.70,2.25,0.46,0.61,4.79,,-84.50%,84.32%,-27.30%,9.40%,2.60%,21.66,3.14%,8475633
359,"PAYC",17222.28,59.79,31.37,2.35,12.52,14.16,42.98,74.11,43.60%,23.21%,18.30%,25.48%,26.00%,289.45,1.35%,515608
360,"PAYX",39233.68,26.29,23.77,3.17,7.97,11.56,25.20,82.32,26.60%,7.27%,11.00%,8.30%,7.90%,109.04,0.19%,2090085
361,"PCAR",35784.65,13.25,12.18,51.54,1.24,4.07,5.68,23.90,61.20%,-12.88%,6.20%,0.26%,8.20%,68.49,0.01%,2487622
362,"PCG",40692.36,19.82,12.43,5.75,1.88,1.45,55.44,,10.00%,10.71%,-24.70%,3.45%,4.80%,16.71,1.27%,12841250
363,"PEAK",11749.33,23.64,44.02,,5.70,1.73,163.19,158.35,324.50%,23.60%,0.00%,,2.20%,21.44,-0.19%,5381346
364,"PEG",31507.49,30.75,17.11,12.81,3.22,2.30,67.76,,260.10%,7.65%,4.70%,2.40%,1.50%,63.31,0.22%,3869136
365,"PEP",252930.86,28.46,23.41,3.83,2.93,14.77,47.29,,15.40%,8.58%,4.90%,7.43%,6.30%,184.36,0.39%,3389699
366,"PFE",234524.80,7.58,11.04,,2.34,2.44,10.32,13.76,39.30%,11.55%,22.70%,-8.00%,13.80%,41.50,-0.12%,25921729
367,"PFG",17754.42,3.90,9.76,0.59,1.28,1.79,3.66,7.35,200.70%,11.15%,26.40%,6.65%,-0.50%,73.42,0.48%,1363678
368,"PG",356844.78,26.73,24.03,4.94,4.44,8.25,52.06,62.15,5.60%,8.55%,9.50%,5.42%,4.30%,152.22,0.63%,5399293
369,"PGR",85715.41,126.97,18.58,4.43,1.73,5.59,421.21,13.56,-79.10%,24.83%,-14.20%,28.64%,13.10%,147.29,0.59%,1902930
370,"PH",40093.03,32.27,14.59,2.91,2.33,4.30,51.55,25.77,-24.40%,9.27%,6.80%,11.10%,5.70%,312.47,-0.04%,693664
371,"PHM",13151.66,5.16,8.18,0.56,0.81,1.47,12.49,31.94,48.30%,-5.62%,40.60%,9.20%,13.60%,57.84,-1.35%,2150735
372,"PKG",12618.81,12.82,15.26,,1.49,3.48,31.14,11.81,24.80%,-0.34%,13.80%,-7.63%,5.60%,141.15,0.54%,703391
373,"PKI",16857.87,32.96,21.65,,5.09,2.28,37.10,30.16,-46.80%,18.41%,11.30%,-8.13%,8.00%,133.57,0.16%,600143
374,"PLD",112910.36,28.19,43.02,,18.90,2.13,405.42,79.16,7.80%,2.44%,6.80%,-6.05%,17.90%,122.75,0.39%,2104836
375,"PM",153258.83,17.03,14.22,4.36,4.83,,47.79,80.07,-0.20%,9.91%,3.50%,3.91%,2.00%,99.03,0.29%,3469407
376,"PNC",48533.83,8.80,8.22,0.80,3.14,1.08,1.41,7.25,9.10%,2.04%,11.80%,10.96%,7.40%,121.88,0.37%,3463885
377,"PNR",8629.49,18.02,13.16,3.53,2.09,3.20,79.24,61.86,-12.10%,11.59%,24.80%,5.10%,7.70%,52.59,0.52%,1471480
378,"PNW",9124.96,20.36,16.94,2.89,2.11,1.50,1901.03,,-23.30%,16.29%,-2.30%,7.05%,3.90%,80.29,-0.42%,1197185
379,"PODD",21967.16,5673.57,153.19,,16.83,46.31,,,-73.10%,60.15%,16.50%,,23.00%,317.72,0.58%,391003
380,"POOL",12574.06,17.39,18.16,2.39,2.03,10.26,275.75,43.25,16.30%,9.85%,34.60%,7.28%,17.30%,326.26,1.38%,443085
381,"PPG",32703.26,31.84,17.42,2.68,1.85,4.94,28.34,,-27.00%,16.49%,-5.80%,11.88%,3.70%,138.07,-0.63%,1461668
382,"PPL",20906.88,29.46,16.74,1.71,2.65,1.51,58.73,,12.80%,7.03%,-14.40%,17.21%,1.20%,28.55,0.60%,4524947
383,"PRU",30399.73,,6.46,,0.51,1.89,1.76,9.10,-120.10%,5.83%,-18.60%,4.07%,0.00%,83.36,0.63%,1921372
384,"PSA",54015.30,13.23,25.76,0.78,12.92,9.52,69.67,,138.10%,6.17%,28.40%,17.00%,9.40%,310.79,1.15%,990141
385,"PSX",48133.23,4.48,7.75,0.15,0.28,1.65,7.85,7.05,683.90%,-13.41%,38.30%,30.30%,10.60%,102.84,-1.52%,3807671
386,"PTC",14918.28,43.34,23.85,3.52,7.68,6.15,38.49,32.92,-34.30%,19.90%,118.50%,12.32%,10.70%,125.29,-0.67%,528987
387,"PWR",23027.70,47.90,19.67,3.98,1.35,4.23,53.74,34.81,-0.70%,14.19%,16.30%,12.04%,12.50%,159.13,-0.49%,679276
388,"PXD",49444.25,6.71,8.99,,2.03,2.19,41.07,9.96,261.20%,2.73%,92.10%,-7.08%,35.70%,208.16,-1.06%,1693671
389,"PYPL",83280.56,35.78,13.37,2.45,3.03,4.21,7.66,16.31,-40.60%,14.82%,5.20%,14.59%,16.00%,74.96,1.83%,10517540
390,"QCOM",137189.28,11.76,10.77,,3.19,7.34,16.65,28.77,45.10%,21.83%,47.40%,-7.25%,14.70%,123.00,-0.03%,5258569
391,"QRVO",9489.10,22.24,21.63,2.22,2.31,2.30,10.33,10.01,46.50%,-24.08%,135.90%,10.00%,8.90%,94.73,-0.28%,1930834
392,"RCL",15829.24,,10.20,,1.79,5.45,8.18,,59.50%,76.79%,-25.60%,,0.10%,61.28,-1.15%,3083264
393,"RE",14212.43,24.48,6.62,2.04,1.14,1.70,10.17,4.13,-56.40%,14.96%,5.50%,12.00%,13.60%,362.10,-0.25%,252222
394,"REG",10322.76,21.45,28.07,,8.43,1.69,155.23,53.99,32.80%,5.81%,24.50%,-0.69%,4.50%,60.30,0.07%,594526
395,"REGN",90215.55,21.67,18.39,,7.41,3.91,11.65,20.39,-46.90%,8.98%,23.80%,,15.70%,828.73,0.43%,549988
396,"RF",17093.16,8.06,7.48,,3.35,1.20,1.52,7.28,-8.60%,-1.17%,17.10%,-0.88%,5.10%,18.36,0.38%,6509222
397,"RHI",8081.89,12.29,13.06,1.40,1.12,5.05,12.27,18.65,12.50%,14.58%,17.70%,8.80%,6.60%,74.01,-1.37%,813381
398,"RJF",19334.45,12.44,8.55,1.09,1.68,1.97,3.13,,5.20%,9.70%,19.40%,11.40%,11.60%,89.35,-0.48%,1333300
399,"RL",7511.38,15.05,12.15,1.90,1.17,3.02,4.42,,653.30%,14.23%,54.20%,7.93%,-1.30%,112.06,-1.56%,825837
400,"RMD",32489.93,40.33,30.43,3.95,8.63,8.71,128.32,,63.60%,13.32%,17.10%,10.20%,11.60%,221.85,0.32%,368730
401,"ROK",31354.40,29.49,22.06,2.38,3.98,10.72,66.37,126.43,-31.20%,9.33%,4.60%,12.40%,4.20%,272.15,-0.37%,551776
402,"ROL",19000.26,51.78,41.39,6.31,7.05,15.09,199.37,84.94,3.30%,11.95%,14.10%,8.20%,10.00%,38.78,0.57%,1154279
403,"ROP",46471.76,47.21,25.17,4.94,8.65,2.88,58.62,107.52,22.00%,7.16%,4.80%,9.55%,3.10%,435.70,-0.39%,363451
404,"ROST",36414.34,24.23,19.39,2.98,1.95,8.42,8.00,60.29,-10.10%,10.06%,5.60%,8.13%,5.80%,106.22,-0.23%,1709010
405,"RSG",42765.85,28.92,23.46,3.22,3.17,4.43,298.23,37.41,16.10%,11.64%,14.30%,8.97%,6.10%,135.70,0.35%,919824
406,"RTX",144506.19,27.96,16.87,2.10,2.15,1.98,23.23,82.48,35.90%,16.09%,-11.80%,13.34%,2.30%,98.21,-0.56%,3430354
407,"SBAC",27897.42,61.58,44.29,4.14,10.59,,192.40,36.49,97.40%,15.94%,30.40%,14.89%,8.80%,259.68,0.57%,336375
408,"SBUX",120562.05,36.32,25.71,2.10,3.66,,36.42,,-20.00%,19.94%,7.50%,17.33%,7.60%,104.68,-0.21%,3154407
409,"SCHW",86393.09,14.08,10.40,0.93,3.87,3.42,2.15,,24.00%,25.03%,16.30%,15.19%,20.00%,49.35,0.98%,28056108
410,"SEDG",15659.81,168.92,24.29,4.02,5.03,7.21,15.29,,-46.00%,27.90%,-6.10%,42.02%,38.60%,280.24,0.48%,624009
411,"SEE",6764.75,14.08,11.12,2.66,1.20,19.69,14.83,26.27,3.40%,14.98%,44.80%,5.30%,4.80%,46.87,-0.26%,1134499
412,"SHW",57502.38,29.00,22.73,3.20,2.60,18.59,289.25,87.54,10.50%,16.15%,13.60%,9.07%,8.10%,223.98,0.52%,1366221
413,"SJM",16773.18,23.52,16.44,6.21,2.01,2.00,160.97,79.80,-25.10%,9.65%,2.70%,3.79%,1.60%,156.51,-0.50%,796398
414,"SLB",72003.58,20.74,13.35,0.66,2.56,3.99,24.88,57.42,81.70%,23.37%,34.00%,31.50%,-1.60%,49.62,-2.13%,6733722
415,"SNA",12206.25,13.60,12.90,4.86,2.52,2.70,16.12,43.92,12.80%,4.43%,11.80%,2.80%,3.90%,228.71,-0.44%,315979
416,"SNPS",57624.78,62.14,31.05,3.66,11.14,10.16,44.26,36.95,30.70%,14.43%,48.10%,16.97%,13.30%,375.92,-0.64%,848435
417,"SO",77856.90,22.11,17.96,3.03,2.66,2.59,40.61,,45.50%,11.58%,41.60%,7.30%,4.90%,72.31,1.13%,4504808
418,"SPG",35924.43,16.84,17.95,1.96,6.79,11.59,57.79,42.14,-4.70%,1.95%,0.90%,8.60%,-0.90%,109.77,-0.16%,1145077
419,"SPGI",113012.13,32.48,23.71,2.48,10.11,3.04,86.93,75.85,-18.50%,15.23%,9.90%,13.10%,13.00%,340.86,-1.09%,1293057
420,"SRE",48184.91,23.47,16.20,5.67,3.34,1.86,130.23,,65.20%,6.84%,13.00%,4.14%,8.50%,155.34,1.44%,1187732
421,"STE",19087.94,,21.99,,3.99,3.19,73.58,112.68,-46.40%,9.13%,14.20%,10.00%,11.90%,193.10,0.44%,241208
422,"STLD",17710.32,4.97,12.01,0.18,0.80,2.22,7.85,5.34,34.50%,-37.84%,51.50%,28.06%,18.50%,103.43,0.20%,1669197
423,"STT",26039.11,10.59,8.25,1.25,6.37,1.18,0.19,2.51,0.00%,9.02%,4.20%,8.49%,7.30%,76.16,0.75%,2163764
424,"STX",13392.62,22.98,13.09,,1.43,,17.39,85.30,37.30%,236.92%,23.30%,-7.77%,1.60%,64.40,-0.71%,1023739
425,"STZ",40855.28,664.62,16.94,74.26,4.27,5.08,220.84,35.64,-102.30%,13.25%,-15.20%,8.95%,3.80%,224.64,1.45%,2025486
426,"SWK",11398.31,76.35,14.43,3.17,0.67,1.13,28.81,,-88.70%,431.92%,-33.60%,24.06%,5.50%,74.29,-0.24%,1403996
427,"SWKS",17901.74,15.20,10.33,1.01,3.37,3.21,18.04,22.97,-13.00%,15.07%,7.60%,15.00%,8.50%,111.35,-1.00%,1249528
428,"SYF",12455.42,4.68,5.31,,0.73,1.05,1.21,1.99,-16.20%,6.63%,18.60%,-3.62%,0.90%,28.62,0.42%,5320326
429,"SYK",109197.57,46.62,25.85,5.04,5.92,6.55,56.64,110.86,18.30%,10.91%,4.80%,9.24%,8.20%,287.68,-0.12%,1113434
430,"SYY",39314.20,27.86,16.75,1.72,0.53,27.30,78.58,217.57,159.00%,14.18%,4.90%,16.16%,4.40%,77.27,-0.23%,2125447
431,"T",141704.60,,7.83,,1.17,1.44,38.29,55.83,-139.30%,2.87%,-22.90%,0.76%,-5.50%,19.65,-1.16%,29719475
432,"TAP",10673.02,,12.05,,1.00,0.89,17.79,20.87,-117.50%,6.31%,-16.80%,2.82%,-0.60%,52.15,-0.67%,1068630
433,"TDG",39453.71,49.30,27.11,2.35,7.01,,12.00,,28.80%,19.28%,9.60%,21.01%,9.20%,724.32,0.24%,175877
434,"TDY",20385.67,26.24,20.91,4.14,3.73,2.49,31.95,51.71,64.50%,8.31%,20.90%,6.33%,16.00%,433.83,0.02%,321918
435,"TECH",11644.80,47.05,31.99,4.37,10.40,6.50,59.17,57.70,91.20%,17.49%,26.70%,10.76%,14.50%,75.65,2.17%,1046979
436,"TEL",39395.73,17.71,16.23,3.22,2.42,3.46,49.68,37.95,10.30%,16.10%,11.70%,5.50%,6.00%,123.96,-0.43%,1559008
437,"TER",15767.25,23.79,19.31,2.23,5.00,6.38,17.63,45.70,-23.70%,65.42%,14.00%,10.67%,8.10%,100.39,-0.83%,1216779
438,"TFC",42526.97,7.39,6.78,,2.56,0.81,1.41,,-1.00%,1.71%,10.50%,-0.29%,17.70%,32.74,2.25%,10842689
439,"TFX",12313.41,34.22,18.09,3.29,4.41,3.06,42.17,61.85,-25.00%,9.15%,6.30%,10.40%,5.40%,262.49,0.12%,312036
440,"TGT",76070.76,27.67,15.67,,0.70,6.79,34.13,,-57.60%,24.71%,5.10%,-7.51%,8.50%,165.58,0.21%,2552126
441,"TJX",89946.38,26.25,20.02,2.34,1.80,14.22,16.42,69.83,10.00%,10.77%,8.80%,11.20%,6.80%,78.05,0.01%,3085900
442,"TMO",223494.70,32.62,21.51,3.34,4.98,5.13,26.21,34.62,-9.30%,12.71%,23.60%,9.77%,16.50%,575.35,-0.78%,780738
443,"TMUS",181834.50,64.35,15.50,0.99,2.29,2.66,40.34,64.69,-3.80%,39.77%,-2.40%,64.93%,14.40%,149.61,0.33%,4263507
444,"TPR",9558.56,11.95,9.59,0.98,1.45,4.15,11.30,38.95,21.40%,12.65%,8.70%,12.25%,8.30%,40.13,-0.89%,4601127
445,"TRGP",17033.84,19.28,11.20,0.60,0.81,6.37,77.78,7.83,48.20%,16.39%,34.60%,32.20%,18.90%,74.93,-0.46%,1027576
446,"TRMB",12140.12,27.26,16.75,2.73,3.30,2.99,44.80,34.89,-7.20%,6.64%,64.60%,10.00%,6.80%,48.96,-0.41%,1414416
447,"TROW",24603.99,16.33,15.25,,3.79,2.77,14.01,24.25,-48.90%,5.85%,1.40%,,6.00%,109.22,-0.34%,978780
448,"TRV",39527.40,14.57,10.17,1.65,1.07,1.85,49.47,7.07,-18.80%,17.19%,8.60%,8.83%,5.00%,171.27,0.56%,787159
449,"TSCO",25773.21,24.26,20.35,2.52,1.81,12.73,127.28,148.12,12.80%,10.22%,23.80%,9.61%,14.40%,235.63,0.47%,986498
450,"TSLA",587004.76,51.05,33.86,4.33,7.21,13.08,26.46,39.88,121.70%,40.08%,39.90%,11.80%,47.30%,185.06,-0.25%,123519227
451,"TSN",21323.09,8.86,10.90,1.18,0.40,1.08,32.60,,6.90%,26.42%,13.20%,7.50%,6.80%,59.61,-0.58%,1897406
452,"TT",39055.00,22.52,18.72,2.03,2.44,6.45,32.00,65.97,27.00%,8.87%,8.40%,11.10%,2.40%,170.68,0.11%,2860059
453,"TTWO",20406.12,,22.77,,4.22,2.09,18.07,182.85,-29.60%,47.13%,38.00%,29.65%,14.50%,119.00,-1.64%,1508367
454,"TXN",160781.79,18.94,21.13,1.89,8.03,11.08,17.73,98.88,13.80%,10.48%,20.80%,10.00%,6.00%,178.12,0.52%,3742992
455,"TXT",13932.01,16.87,11.89,1.24,1.08,1.98,6.85,12.47,21.60%,13.00%,13.50%,13.55%,-1.90%,67.71,-0.27%,1563176
456,"TYL",14567.11,91.02,40.78,12.64,7.87,5.59,69.07,40.58,1.40%,14.08%,1.20%,7.20%,17.10%,352.80,1.46%,170943
457,"UAL",13747.61,20.47,4.17,0.34,0.31,2.02,0.84,11.02,136.60%,19.04%,-19.10%,59.43%,3.50%,42.66,1.50%,6300972
458,"UDR",13351.18,160.16,64.06,,8.80,3.27,11125.98,42.34,-47.10%,23.78%,-10.00%,,8.80%,40.68,0.30%,1732394
459,"UHS",9094.96,13.99,11.36,3.40,0.68,1.54,88.47,44.67,-22.70%,12.77%,4.00%,4.11%,5.20%,128.08,-0.48%,392088
460,"ULTA",26808.09,21.69,19.06,1.69,2.63,13.46,36.33,22.92,33.60%,7.33%,20.20%,12.80%,11.60%,520.95,-2.47%,736117
461,"UNH",475031.29,24.21,18.13,1.74,1.47,6.16,20.33,27.28,17.10%,13.40%,17.40%,13.89%,10.00%,512.81,0.70%,3471270
462,"UNP",118832.41,17.71,15.76,1.96,4.78,10.00,116.62,46.01,12.70%,9.24%,13.10%,9.05%,3.20%,198.64,2.28%,3280010
463,"UPS",162256.12,14.27,15.27,3.58,1.62,8.25,21.36,38.44,-10.10%,7.96%,20.00%,3.99%,8.50%,188.58,-0.43%,2206113
464,"URI",24371.52,11.94,8.07,0.77,2.09,3.49,229.92,5.83,55.80%,7.25%,31.00%,15.59%,11.90%,355.27,1.14%,1494332
465,"USB",53781.23,9.68,6.87,2.52,3.00,1.22,1.00,2.93,-27.70%,8.42%,4.40%,3.85%,4.60%,35.75,1.82%,12002121
466,"V",469620.79,31.58,23.37,2.04,15.56,13.32,29.13,32.61,24.50%,14.53%,20.10%,15.48%,9.80%,225.99,-0.96%,4284649
467,"VFC",8449.48,20.05,9.68,,0.72,2.49,,,242.40%,6.06%,11.30%,-6.00%,7.10%,21.35,-1.79%,6010195
468,"VICI",32255.04,25.79,13.05,3.63,12.40,1.42,154.40,44.65,-27.70%,4.38%,48.40%,7.10%,69.20%,32.32,0.62%,4631423
469,"VLO",49692.08,4.55,8.24,,0.28,2.14,10.22,4.53,-18.40%,-32.40%,42.50%,,13.40%,132.59,-1.85%,3168613
470,"VMC",21828.48,37.07,22.69,2.47,2.98,3.17,135.24,67.58,-11.90%,21.86%,14.60%,15.00%,13.50%,164.93,0.53%,877222
471,"VRSK",29617.93,29.21,29.87,2.97,11.86,16.99,263.27,50.28,76.40%,17.40%,18.90%,9.84%,3.10%,190.42,-0.54%,859022
472,"VRSN",22279.68,34.13,26.10,4.27,15.64,,22.73,27.72,-10.80%,16.93%,10.70%,8.00%,4.10%,213.06,0.29%,256979
473,"VRTX",82769.55,25.09,20.75,2.70,9.27,5.94,7.68,21.09,42.30%,8.73%,65.30%,9.30%,29.10%,321.66,-0.09%,912001
474,"VTR",16787.69,,698.85,,4.07,1.64,136.93,94.42,-193.60%,133.30%,-15.70%,,2.90%,42.63,1.57%,1774556
475,"VTRS",11728.81,5.81,3.42,,0.72,0.57,8.77,5.97,262.60%,-0.55%,2.10%,-4.35%,6.40%,9.92,1.22%,9230653
476,"VZ",168457.21,7.81,8.37,61.00,1.23,1.82,64.67,51.85,-4.90%,0.26%,9.20%,0.13%,1.70%,39.48,-1.57%,21540919
477,"WAB",17418.03,27.82,16.10,2.42,2.08,1.73,32.20,22.39,17.10%,11.35%,2.50%,11.50%,16.60%,96.36,-0.23%,488824
478,"WAT",17841.00,25.55,21.21,3.27,6.00,35.29,37.06,40.94,5.00%,11.15%,10.60%,7.81%,5.20%,300.00,-0.88%,307358
479,"WBA",31164.02,,7.44,,0.23,1.46,16.94,,117.60%,6.44%,5.80%,2.09%,2.30%,35.78,-0.94%,5631761
480,"WBD",36022.54,,15.99,,1.07,0.78,9.65,10.86,-348.50%,1980.00%,-40.40%,7.50%,37.50%,15.11,2.16%,21818914
481,"WDC",11195.28,,22.82,,0.71,0.92,5.98,,78.70%,153.10%,28.80%,-12.32%,-0.30%,35.15,0.26%,4662439
482,"WEC",31019.32,22.15,20.13,3.89,3.23,2.73,1073.33,,8.40%,6.36%,7.20%,5.70%,4.60%,98.64,0.31%,1250562
483,"WELL",34619.47,259.24,64.17,4.35,5.91,1.70,54.80,175.56,14.10%,65.43%,-3.60%,59.60%,6.30%,71.55,1.40%,1858216
484,"WFC",139336.70,12.05,7.40,2.12,2.58,0.90,0.37,6.09,-36.40%,8.91%,-2.70%,5.68%,-1.70%,37.90,2.74%,23475649
485,"WHR",7056.91,,7.00,,0.36,2.98,3.60,21.00,-196.60%,14.49%,-35.80%,-11.67%,-1.50%,127.45,-1.54%,559274
486,"WM",66229.93,30.35,24.39,3.47,3.36,9.78,188.69,75.95,25.60%,11.85%,-1.30%,8.75%,6.30%,163.66,0.52%,3290525
487,"WMB",36483.73,17.72,16.90,4.79,3.33,3.16,240.02,13.09,34.60%,0.86%,41.80%,3.70%,6.40%,29.65,-0.97%,6627891
488,"WMT",403459.38,35.29,22.31,6.94,0.66,5.30,46.78,68.73,-12.40%,10.42%,5.90%,5.09%,4.10%,150.80,0.75%,5961995
489,"WRB",16505.07,12.76,10.99,1.42,1.48,2.59,11.39,7.22,102.80%,13.10%,32.40%,9.00%,7.80%,63.10,0.72%,1311072
490,"WRK",7649.67,9.58,9.45,,0.36,0.66,18.42,9.67,15.30%,6.78%,5.50%,-13.29%,7.40%,30.06,0.07%,1659439
491,"WST",25754.03,45.03,40.81,1.66,8.92,9.55,28.80,66.84,-11.60%,14.48%,20.10%,27.20%,12.50%,344.72,-0.59%,462143
492,"WTW",25159.66,24.98,13.75,1.49,2.84,2.58,,82.49,-43.60%,18.98%,14.80%,16.77%,1.60%,236.73,0.28%,396251
493,"WY",21678.86,11.85,25.80,2.37,2.13,2.04,13.71,18.66,-27.10%,30.15%,24.70%,5.00%,7.20%,29.85,0.91%,2918726
494,"WYNN",12345.84,,26.07,,3.29,,3.38,,43.90%,311.10%,-24.10%,,-9.20%,109.12,0.48%,1390602
495,"XEL",39105.13,22.48,19.73,3.51,2.55,2.35,352.30,,7.30%,6.96%,6.60%,6.40%,6.10%,71.27,0.21%,2442318
496,"XOM",476264.44,8.67,11.73,,1.19,2.44,16.07,10.96,146.40%,-4.65%,32.60%,-10.74%,10.90%,115.05,-1.66%,15775522
497,"XRAY",8448.51,,17.69,,2.15,2.23,23.15,32.00,-336.20%,18.38%,7.90%,3.90%,-0.40%,39.54,0.79%,2465747
498,"XYL",18110.97,51.13,27.64,2.73,3.28,5.17,19.19,105.91,-16.60%,13.16%,-1.20%,18.76%,3.20%,100.26,-0.01%,1260002
499,"YUM",36957.62,28.92,22.31,2.53,5.40,,100.70,74.06,-12.40%,14.93%,-1.80%,11.43%,3.10%,132.10,0.12%,1080540
500,"ZBH",26978.45,93.67,17.05,16.11,3.89,2.26,71.81,30.12,-34.80%,7.22%,-12.30%,5.82%,-2.30%,129.17,0.45%,780982
501,"ZBRA",15427.36,34.14,15.42,8.77,2.67,5.68,146.93,37.35,-43.30%,12.05%,39.70%,3.89%,9.20%,300.26,0.04%,184331
502,"ZION",4240.10,5.08,4.86,,1.57,0.98,0.70,4.19,-14.70%,-1.13%,15.40%,,4.30%,29.39,2.65%,5847876
503,"ZTS",77687.06,37.58,27.84,3.46,9.61,17.86,21.72,108.65,5.20%,12.20%,15.50%,10.87%,8.80%,168.94,0.77%,1594461
