"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
357,"OXY",57991.13,905.80,890.86,0.23%,,79.40%,-2.78%,5.18%,3.29,14034.56,63.04,-2.37%,10470623
358,"PARA",13806.30,649.00,584.77,0.20%,0.00%,81.80%,2.16%,15.34%,7.92,11326.18,21.66,3.14%,8475633
359,"PAYC",17222.28,57.87,48.68,14.57%,-0.01%,81.00%,1.86%,2.43%,2.29,517.83,289.45,1.35%,515608
360,"PAYX",39233.68,360.50,321.66,10.70%,-0.04%,73.20%,0.03%,3.03%,5.08,1915.33,109.04,0.19%,2090085
361,"PCAR",35784.65,783.00,515.79,1.40%,-1.98%,66.80%,0.47%,1.48%,2.32,3292.53,68.49,0.01%,2487622
362,"PCG",40692.36,1987.00,1967.91,12.60%,-33.57%,73.20%,11.45%,3.25%,4.38,14620.16,16.71,1.27%,12841250
363,"PEAK",11749.33,537.92,535.96,0.29%,1.14%,97.50%,-2.27%,2.02%,2.36,4579.28,21.44,-0.19%,5381346
364,"PEG",31507.49,498.77,498.29,0.10%,-1.49%,72.90%,0.31%,0.89%,1.77,2518.80,63.31,0.22%,3869136
365,"PEP",252930.86,1377.31,1375.01,0.10%,-8.62%,74.00%,-0.02%,0.84%,2.45,4733.32,184.36,0.39%,3389699
366,"PFE",234524.80,5614.00,5610.76,0.04%,-0.50%,70.50%,0.53%,0.79%,1.90,23280.65,41.50,-0.12%,25921729
367,"PFG",17754.42,244.50,241.66,0.40%,-1.90%,76.90%,-2.08%,3.53%,4.38,1945.62,73.42,0.48%,1363678
368,"PG",356844.78,2365.90,2355.80,0.13%,-2.33%,65.50%,-1.26%,0.57%,1.96,6876.59,152.22,0.63%,5399293
369,"PGR",85715.41,584.40,582.96,0.20%,-13.24%,86.70%,-0.98%,0.65%,1.54,2467.54,147.29,0.59%,1902930
370,"PH",40093.03,128.31,127.78,0.20%,-25.03%,85.90%,-0.42%,1.38%,1.78,991.05,312.47,-0.04%,693664
371,"PHM",13151.66,227.12,223.34,0.76%,-2.85%,94.30%,-1.04%,3.69%,3.08,2668.87,57.84,-1.35%,2150735
372,"PKG",12618.81,90.50,88.80,1.00%,0.00%,97.50%,0.04%,3.84%,4.49,760.52,141.15,0.54%,703391
373,"PKI",16857.87,126.16,126.05,0.10%,-37.57%,88.40%,-9.68%,2.60%,3.73,877.79,133.57,0.16%,600143
374,"PLD",112910.36,920.95,738.19,0.32%,0.31%,79.60%,1.07%,1.20%,2.91,3046.78,122.75,0.39%,2104836
375,"PM",153258.83,1550.00,1548.19,0.16%,-6.22%,77.00%,0.58%,0.62%,2.04,4684.55,99.03,0.29%,3469407
376,"PNC",48533.83,406.00,396.99,0.10%,-0.02%,84.90%,-3.60%,1.11%,1.27,3459.57,121.88,0.37%,3463885
377,"PNR",8629.49,164.80,163.96,0.10%,-4.59%,96.60%,4.53%,4.56%,4.38,1704.69,52.59,0.52%,1471480
378,"PNW",9124.96,113.30,112.50,0.10%,-0.60%,90.70%,-0.17%,1.55%,1.82,961.68,80.29,-0.42%,1197185
379,"PODD",21967.16,69.47,69.13,0.10%,-53.91%,,-0.62%,3.69%,3.06,835.29,317.72,0.58%,391003
380,"POOL",12574.06,38.84,37.84,0.20%,0.00%,,0.41%,10.20%,8.99,429.07,326.26,1.38%,443085
381,"PPG",32703.26,235.80,234.40,0.28%,-11.02%,82.50%,0.17%,0.93%,1.47,1492.33,138.07,-0.63%,1461668
382,"PPL",20906.88,736.37,735.12,0.05%,-12.19%,72.80%,2.05%,1.64%,2.10,5734.50,28.55,0.60%,4524947
383,"PRU",30399.73,367.80,366.50,0.14%,-6.05%,59.90%,-0.88%,2.17%,3.32,2400.23,83.36,0.63%,1921372
384,"PSA",54015.30,175.35,151.79,8.20%,0.02%,81.10%,0.62%,2.60%,3.54,1115.56,310.79,1.15%,990141
385,"PSX",48133.23,471.86,458.56,0.20%,0.72%,73.50%,-1.72%,2.41%,2.94,3754.39,102.84,-1.52%,3807671
386,"PTC",14918.28,117.82,105.26,1.00%,-61.71%,91.10%,-0.96%,1.48%,2.17,719.15,125.29,-0.67%,528987
387,"PWR",23027.70,143.21,141.17,0.20%,-12.58%,94.40%,-1.40%,2.63%,3.95,939.33,159.13,-0.49%,679276
388,"PXD",49444.25,237.00,233.31,0.68%,0.04%,92.50%,-1.19%,1.96%,1.72,2649.35,208.16,-1.06%,1693671
389,"PYPL",83280.56,1139.00,1124.64,0.23%,1.05%,76.00%,1.41%,1.87%,1.65,12748.63,74.96,1.83%,10517540
390,"QCOM",137189.28,1122.00,1107.81,0.10%,-6.22%,74.10%,-0.30%,0.93%,1.34,7708.42,123.00,-0.03%,5258569
391,"QRVO",9489.10,100.94,99.28,0.50%,-3.68%,89.40%,-3.21%,2.48%,1.87,1318.71,94.73,-0.28%,1930834
392,"RCL",15829.24,255.19,219.97,0.20%,-73.41%,73.90%,1.71%,8.58%,4.93,3825.13,61.28,-1.15%,3083264
393,"RE",14212.43,39.60,38.55,0.50%,-7.11%,96.50%,0.23%,1.12%,1.47,294.68,362.10,-0.25%,252222
394,"REG",10322.76,171.12,169.68,0.40%,-3.05%,,-1.58%,1.48%,2.63,954.07,60.30,0.07%,594526
395,"REGN",90215.55,106.80,104.32,0.50%,-12.70%,89.50%,-0.34%,1.16%,1.87,649.11,828.73,0.43%,549988
396,"RF",17093.16,932.00,929.75,0.24%,-4.89%,77.50%,0.73%,2.60%,2.03,11888.27,18.36,0.38%,6509222
397,"RHI",8081.89,106.97,105.49,0.20%,-12.41%,98.20%,-2.96%,5.48%,5.72,1011.73,74.01,-1.37%,813381
398,"RJF",19334.45,214.70,193.54,0.40%,-4.50%,77.50%,0.69%,2.35%,2.87,1588.11,89.35,-0.48%,1333300
399,"RL",7511.38,66.50,40.20,3.80%,-1.43%,,-0.22%,15.13%,6.47,939.84,112.06,-1.56%,825837
400,"RMD",32489.93,146.70,144.57,0.70%,-9.55%,67.40%,-0.39%,0.90%,2.06,632.18,221.85,0.32%,368730
401,"ROK",31354.40,114.80,114.65,0.20%,-13.60%,82.60%,-1.30%,2.46%,3.99,706.69,272.15,-0.37%,551776
402,"ROL",19000.26,492.35,236.77,44.10%,-6.71%,43.40%,1.80%,4.24%,7.40,1355.96,38.78,0.57%,1154279
403,"ROP",46471.76,105.90,105.62,0.30%,-11.70%,97.10%,-3.04%,0.72%,1.32,577.66,435.70,-0.39%,363451
404,"ROST",36414.34,339.75,338.19,0.10%,-6.50%,92.50%,-0.33%,1.54%,2.16,2402.00,106.22,-0.23%,1709010
405,"RSG",42765.85,316.50,315.20,0.10%,-1.33%,95.80%,-0.15%,0.50%,1.02,1549.83,135.70,0.35%,919824
406,"RTX",144506.19,1465.90,1451.58,0.09%,-1.06%,80.90%,-0.99%,0.68%,2.06,4759.27,98.21,-0.56%,3430354
407,"SBAC",27897.42,107.98,106.59,0.40%,0.00%,97.20%,-0.20%,1.37%,1.75,832.73,259.68,0.57%,336375
408,"SBUX",120562.05,1148.50,1145.62,0.10%,-2.54%,72.10%,2.10%,1.10%,2.09,6067.26,104.68,-0.21%,3154407
409,"SCHW",86393.09,1864.00,1619.15,6.34%,-1.16%,88.50%,-0.61%,0.97%,0.68,23131.77,49.35,0.98%,28056108
410,"SEDG",15659.81,55.98,55.33,0.60%,-9.98%,90.30%,1.76%,4.78%,2.30,1151.12,280.24,0.48%,624009
411,"SEE",6764.75,144.70,143.90,0.60%,0.31%,93.90%,-6.55%,1.46%,1.83,1152.90,46.87,-0.26%,1134499
412,"SHW",57502.38,257.40,237.16,0.10%,-0.21%,79.20%,-0.68%,1.02%,1.48,1637.04,223.98,0.52%,1366221
413,"SJM",16773.18,106.50,101.92,1.30%,-8.23%,82.70%,-1.01%,3.56%,3.75,967.18,156.51,-0.50%,796398
414,"SLB",72003.58,1422.00,1415.79,0.19%,-13.30%,85.80%,3.81%,1.32%,1.87,9971.53,49.62,-2.13%,6733722
415,"SNA",12206.25,52.90,52.24,1.50%,-16.07%,89.50%,-0.03%,4.77%,8.17,305.31,228.71,-0.44%,315979
416,"SNPS",57624.78,152.40,151.48,0.20%,-19.27%,92.70%,0.55%,1.24%,2.36,793.57,375.92,-0.64%,848435
417,"SO",77856.90,1090.00,1086.79,0.10%,-4.68%,63.50%,2.61%,1.06%,2.61,4418.09,72.31,1.13%,4504808
418,"SPG",35924.43,326.94,325.57,0.10%,2.19%,83.00%,-1.80%,1.66%,3.20,1691.94,109.77,-0.16%,1145077
419,"SPGI",113012.13,324.10,318.68,0.10%,-6.18%,91.70%,-3.53%,1.30%,2.92,1425.15,340.86,-1.09%,1293057
420,"SRE",48184.91,314.73,310.86,0.04%,-29.22%,89.10%,-0.49%,1.11%,2.52,1372.45,155.34,1.44%,1187732
421,"STE",19087.94,99.72,98.41,0.10%,-2.71%,95.90%,0.33%,2.41%,4.39,541.43,193.10,0.44%,241208
422,"STLD",17710.32,174.71,165.28,5.80%,-0.25%,85.70%,-3.35%,3.01%,2.63,1889.42,103.43,0.20%,1669197
423,"STT",26039.11,359.14,343.29,0.10%,-9.35%,91.60%,-0.58%,1.45%,1.65,3015.82,76.16,0.75%,2163764
424,"STX",13392.62,206.00,205.30,0.40%,-4.24%,87.80%,-0.78%,4.77%,3.87,2529.53,64.40,-0.71%,1023739
425,"STZ",40855.28,189.88,149.71,7.80%,-55.77%,73.70%,1.80%,1.51%,1.64,1377.82,224.64,1.45%,2025486
426,"SWK",11398.31,147.53,147.16,0.20%,-2.49%,91.80%,1.84%,5.93%,4.57,1906.51,74.29,-0.24%,1403996
427,"SWKS",17901.74,159.80,158.33,0.20%,-2.79%,78.90%,1.45%,2.40%,2.07,1838.03,111.35,-1.00%,1249528
428,"SYF",12455.42,445.30,434.04,0.40%,-15.20%,,-4.53%,3.32%,2.46,5853.03,28.62,0.42%,5320326
429,"SYK",109197.57,378.50,371.63,0.10%,-62.76%,79.80%,1.53%,1.61%,4.47,1340.94,287.68,-0.12%,1113434
430,"SYY",39314.20,507.61,506.18,0.20%,-8.08%,84.30%,-1.07%,2.54%,5.45,2355.91,77.27,-0.23%,2125447
431,"T",141704.60,7170.50,7117.47,0.08%,0.00%,54.40%,-0.89%,1.20%,2.67,32061.12,19.65,-1.16%,29719475
432,"TAP",10673.02,216.60,166.08,0.10%,0.00%,87.20%,-2.52%,4.31%,4.32,1656.54,52.15,-0.67%,1068630
433,"TDG",39453.71,57.10,52.69,0.30%,-77.94%,98.00%,1.68%,2.23%,3.45,339.90,724.32,0.24%,175877
