"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
1,"A",40833.41,0.65%,12.50%,25.00%,16.90%,2.10,1.50,0.49,0.53,54.50%,24.10%,19.10%,2/28/2023 4:30:00 PM,138.03,-0.04%,1158389
2,"AAL",9067.55,,0.20%,-1.60%,5.20%,0.70,0.60,,,57.90%,3.30%,0.30%,1/26/2023 8:30:00 AM,14.01,0.86%,14041168
3,"AAP",7125.54,4.97%,4.20%,18.10%,13.80%,1.10,0.20,0.44,0.51,44.50%,6.30%,4.50%,2/28/2023 8:30:00 AM,120.69,0.40%,1029565
4,"AAPL",2591002.55,0.56%,27.50%,163.50%,58.30%,0.90,0.90,1.76,1.96,43.10%,29.40%,24.60%,5/4/2023 4:30:00 PM,164.66,0.55%,45337673
5,"ABBV",283673.73,3.66%,8.30%,73.40%,20.50%,1.00,0.80,3.43,3.67,71.50%,31.20%,20.30%,4/27/2023 8:30:00 AM,161.55,0.47%,5498027
6,"ABC",33850.56,1.17%,3.00%,,34.50%,0.90,0.50,,,3.50%,1.00%,0.70%,5/2/2023 8:30:00 AM,166.35,-0.60%,857766
7,"ABT",181111.28,1.94%,9.40%,19.20%,13.00%,1.60,1.20,0.40,0.46,56.10%,19.20%,15.90%,4/19/2023 8:30:00 AM,104.93,0.69%,5065004
8,"ACGL",25551.23,,3.10%,12.30%,8.90%,,,0.23,0.23,,14.80%,15.10%,4/26/2023 4:30:00 PM,68.94,0.51%,1979161
9,"ACN",186409.35,1.59%,14.70%,30.80%,31.90%,1.30,1.30,0.00,0.00,32.10%,14.70%,11.00%,3/23/2023 8:30:00 AM,281.70,0.13%,2125316
10,"ADBE",175232.05,,17.70%,33.50%,26.70%,1.10,1.10,0.26,0.26,87.70%,33.90%,26.30%,3/15/2023 4:30:00 PM,380.60,-0.37%,1835767
11,"ADI",96298.96,1.84%,6.80%,9.40%,6.80%,2.10,1.50,0.18,0.00,65.60%,32.20%,27.30%,2/15/2023 8:30:00 AM,187.17,-1.68%,3008992
12,"ADM",43392.83,2.29%,7.10%,18.00%,9.80%,1.50,0.90,0.32,0.38,7.50%,4.10%,4.30%,1/26/2023 8:30:00 AM,78.74,-0.84%,2413897
13,"ADP",88326.32,2.31%,5.30%,96.90%,47.10%,1.00,1.00,1.00,1.00,43.70%,23.70%,18.20%,4/26/2023 8:30:00 AM,216.11,1.38%,1966560
14,"ADSK",42430.07,,9.50%,94.80%,25.30%,0.80,0.80,1.99,1.99,90.40%,19.80%,16.40%,2/23/2023 4:30:00 PM,197.34,-0.11%,1174474
15,"AEE",23430.81,2.80%,2.90%,10.60%,5.20%,0.80,0.60,1.30,1.44,72.30%,19.00%,13.50%,2/15/2023 4:30:00 PM,90.07,0.90%,1543764
16,"AEP",48580.83,3.50%,2.50%,9.60%,5.40%,0.60,0.60,1.41,1.67,63.90%,17.70%,11.70%,5/4/2023 8:30:00 AM,94.89,0.37%,2991524
17,"AES",16123.52,2.72%,-1.50%,-25.60%,2.20%,1.20,1.00,13.60,14.70,20.20%,6.40%,-4.30%,5/5/2023 8:30:00 AM,24.40,1.24%,4738909
18,"AFL",39430.66,2.60%,3.10%,16.40%,14.90%,,,0.33,0.33,,24.70%,21.50%,4/26/2023 4:30:00 PM,64.56,0.16%,2355670
19,"AIG",36859.33,2.51%,1.90%,23.00%,18.60%,,,0.63,0.69,,27.30%,18.20%,5/4/2023 4:30:00 PM,51.08,1.67%,3438365
20,"AIZ",6285.69,2.37%,0.80%,6.20%,6.10%,,,0.50,0.50,,4.50%,2.70%,5/2/2023 4:30:00 PM,118.33,-0.37%,420111
21,"AJG",41804.94,1.11%,2.80%,12.50%,9.20%,1.00,1.00,0.61,0.67,44.30%,18.50%,13.00%,4/27/2023 4:30:00 PM,197.37,1.07%,895013
22,"AKAM",12099.22,,6.40%,12.20%,8.30%,2.40,2.40,0.52,0.00,61.70%,18.70%,14.50%,2/14/2023 4:30:00 PM,78.92,1.95%,1079248
23,"ALB",23073.47,0.82%,20.20%,40.40%,18.60%,1.90,1.10,0.40,0.40,42.00%,33.70%,36.70%,5/3/2023 4:30:00 PM,194.68,-1.03%,2013870
24,"ALGN",24287.20,,6.10%,9.90%,11.20%,1.30,1.10,0.00,0.00,70.50%,17.20%,9.70%,4/26/2023 4:30:00 PM,323.14,1.93%,612973
25,"ALK",5347.07,,0.40%,1.50%,0.80%,0.70,0.70,0.49,0.57,51.60%,0.70%,0.60%,4/20/2023 8:30:00 AM,42.04,0.21%,1674085
26,"ALL",30251.01,3.09%,-1.50%,-8.00%,-5.80%,,,0.51,0.51,,-3.60%,-2.80%,5/3/2023 4:30:00 PM,115.22,0.30%,1414450
27,"ALLE",8715.51,1.81%,12.60%,56.30%,17.20%,1.70,1.00,2.21,2.22,40.40%,17.70%,14.00%,4/26/2023 8:30:00 AM,99.64,0.45%,836839
28,"AMAT",99149.18,1.12%,24.30%,52.40%,38.00%,2.30,1.50,0.41,0.43,46.40%,29.60%,24.60%,2/16/2023 4:30:00 PM,114.45,-2.45%,6265919
29,"AMCR",16804.24,4.36%,6.10%,25.20%,8.90%,1.30,0.80,1.57,1.59,19.10%,10.20%,7.10%,2/7/2023 4:30:00 PM,11.25,-0.53%,9398339
30,"AMD",148966.40,,2.00%,2.40%,2.40%,2.40,1.80,0.05,0.05,44.90%,5.40%,5.60%,1/31/2023 4:30:00 PM,92.47,-0.10%,47732587
31,"AME",31242.75,0.74%,9.60%,16.30%,12.50%,1.60,0.90,0.29,0.32,34.90%,24.40%,18.90%,2/2/2023 8:30:00 AM,135.25,-0.31%,1175833
32,"AMGN",135293.15,3.36%,10.60%,246.10%,20.60%,1.40,1.10,10.20,10.64,75.70%,36.60%,24.90%,1/31/2023 4:30:00 PM,253.32,-0.02%,2047732
33,"AMP",31385.10,1.68%,1.60%,63.20%,6.90%,,,1.43,10.01,51.00%,23.60%,17.80%,1/25/2023 4:30:00 PM,297.32,-0.39%,430825
34,"AMT",95313.03,3.02%,2.60%,29.20%,5.30%,0.40,0.40,6.13,6.94,69.50%,22.00%,16.50%,4/26/2023 8:30:00 AM,206.69,0.98%,1273327
35,"AMZN",1035997.77,,-0.60%,-2.00%,6.60%,0.90,0.70,0.58,0.61,43.80%,2.40%,-0.50%,2/2/2023 4:30:00 PM,102.06,0.95%,43751813
36,"ANET",49900.38,,21.80%,31.00%,26.60%,4.30,3.20,0.00,0.00,61.10%,34.90%,30.90%,5/1/2023 4:30:00 PM,159.85,-1.85%,2677310
37,"ANSS",28066.05,,8.40%,11.50%,9.60%,2.10,2.10,0.15,0.00,87.90%,28.70%,25.40%,2/22/2023 4:30:00 PM,322.08,-0.38%,421756
38,"AON",65965.50,0.70%,7.80%,,31.30%,1.00,1.00,,,,29.80%,20.70%,4/28/2023 8:30:00 AM,322.05,0.15%,465826
39,"AOS",9750.72,1.86%,7.10%,13.30%,11.30%,1.70,1.20,0.19,0.20,35.40%,6.00%,6.30%,4/27/2023 8:30:00 AM,64.60,-0.02%,1159084
40,"APA",11813.12,2.63%,28.20%,924.90%,76.90%,0.90,0.80,12.89,12.89,70.90%,55.70%,33.20%,5/4/2023 8:30:00 AM,38.07,0.21%,5084680
41,"APD",63043.92,2.48%,8.20%,16.60%,8.80%,1.90,1.70,0.54,0.58,27.10%,19.20%,17.60%,2/2/2023 8:30:00 AM,282.00,-0.66%,869163
42,"APH",46408.53,1.08%,12.60%,28.70%,17.60%,2.40,1.60,0.65,0.65,31.90%,20.50%,15.10%,4/26/2023 8:30:00 AM,77.64,-0.53%,1816175
43,"APTV",28324.32,,2.60%,6.30%,7.10%,1.60,1.10,0.73,0.74,15.10%,6.90%,3.00%,5/4/2023 8:30:00 AM,103.02,-1.42%,1648412
44,"ARE",21403.79,3.89%,1.50%,2.90%,1.90%,,,0.54,0.54,69.80%,21.60%,19.80%,4/24/2023 4:30:00 PM,124.39,0.59%,603738
45,"ATO",16592.78,2.56%,,,4.80%,1.00,0.90,0.67,0.89,56.10%,,,5/3/2023 4:30:00 PM,115.42,0.51%,811933
46,"ATVI",66961.62,0.55%,5.90%,8.20%,6.30%,4.10,4.10,0.19,0.19,70.50%,22.20%,20.10%,2/6/2023 4:30:00 PM,85.22,-0.19%,6616563
47,"AVB",23270.77,3.92%,5.70%,10.20%,2.70%,,,0.74,0.74,64.60%,20.70%,43.80%,4/26/2023 4:30:00 PM,168.19,1.12%,544582
48,"AVGO",262249.75,2.96%,17.40%,57.40%,21.40%,2.50,2.30,1.64,1.69,67.00%,44.20%,36.60%,3/2/2023 4:30:00 PM,622.64,-1.01%,1448972
49,"AVY",14338.85,1.70%,9.40%,38.30%,14.60%,1.00,0.60,1.23,1.53,26.60%,11.00%,8.40%,4/26/2023 8:30:00 AM,176.87,0.05%,497484
50,"AWK",29236.90,1.73%,3.10%,10.80%,5.50%,0.40,0.40,1.42,1.61,,34.10%,21.60%,4/26/2023 4:30:00 PM,151.88,1.11%,1059255
51,"AXP",119854.71,1.51%,3.50%,31.50%,4.20%,,,1.72,6.24,66.00%,17.60%,13.70%,4/20/2023 8:30:00 AM,158.83,-1.40%,3753965
52,"AZO",45881.23,,15.90%,-64.70%,90.60%,0.80,0.10,,,51.40%,19.40%,14.30%,2/28/2023 8:30:00 AM,2530.68,1.45%,142670
53,"BA",125826.44,,-3.60%,30.90%,-8.70%,1.20,0.30,,,5.30%,-5.30%,-7.40%,4/26/2023 8:30:00 AM,211.37,0.65%,5612186
54,"BAC",221100.27,3.16%,0.80%,10.80%,6.30%,,,1.06,2.03,,68.80%,35.90%,4/18/2023 8:30:00 AM,27.84,0.72%,40992246
55,"BALL",16719.50,1.52%,3.50%,20.10%,8.40%,0.80,0.50,2.18,2.59,16.80%,7.80%,4.70%,5/4/2023 8:30:00 AM,52.63,-1.03%,1931143
56,"BAX",21363.19,2.74%,-8.10%,-33.20%,-9.60%,1.70,1.10,2.61,2.85,35.90%,-13.90%,-16.10%,4/27/2023 8:30:00 AM,42.30,0.09%,4393702
57,"BBWI",8162.31,2.25%,15.70%,-31.60%,42.40%,1.60,1.10,,,43.10%,18.20%,10.60%,2/23/2023 8:30:00 AM,35.53,-0.42%,2805674
58,"BBY",16632.47,4.90%,8.90%,49.60%,35.90%,1.00,0.40,0.42,0.42,21.40%,3.90%,3.10%,3/2/2023 8:30:00 AM,75.08,-1.57%,1791253
59,"BDX",71318.29,1.43%,,,5.20%,1.10,0.60,0.56,0.65,44.80%,,,5/4/2023 8:30:00 AM,254.69,1.20%,1369835
60,"BEN",13314.63,4.51%,3.50%,8.30%,6.80%,,,0.82,0.82,,17.60%,12.00%,1/30/2023 8:30:00 AM,26.60,-0.04%,2673922
61,"BF-B",30328.07,1.31%,10.60%,25.00%,18.50%,2.00,0.90,0.67,1.00,59.50%,25.70%,17.40%,3/8/2023 8:30:00 AM,62.66,-0.43%,1774607
62,"BG",13830.17,2.70%,6.10%,18.30%,13.90%,1.70,0.90,0.35,0.50,5.60%,3.40%,2.40%,5/3/2023 8:30:00 AM,92.46,0.24%,1528413
63,"BIIB",41032.47,,12.40%,24.70%,9.80%,3.00,2.60,0.47,0.47,77.60%,25.20%,29.90%,2/15/2023 8:30:00 AM,286.80,0.99%,737066
64,"BIO",13726.11,,-27.60%,-39.00%,14.30%,5.60,4.30,0.12,0.12,56.00%,16.70%,,2/16/2023 4:30:00 PM,466.24,0.53%,95581
65,"BK",35889.42,3.30%,0.50%,6.60%,4.00%,,,0.86,0.86,,48.70%,33.20%,4/18/2023 8:30:00 AM,44.85,-0.07%,3207341
66,"BKNG",98470.53,,13.00%,82.50%,27.70%,1.90,1.90,4.31,4.49,,29.90%,17.90%,2/23/2023 4:30:00 PM,2583.85,-1.21%,272674
67,"BKR",29384.69,2.67%,-1.80%,-4.00%,0.60%,1.30,0.90,0.42,0.46,20.90%,3.50%,-2.80%,4/19/2023 8:30:00 AM,28.51,-1.83%,4583140
68,"BLK",98558.46,3.05%,4.10%,13.90%,11.50%,,,0.18,0.00,80.90%,35.70%,29.00%,4/14/2023 8:30:00 AM,656.40,0.05%,441511
69,"BMY",146852.70,3.22%,6.40%,19.80%,11.80%,1.20,1.10,1.13,1.27,78.20%,21.50%,13.70%,4/27/2023 8:30:00 AM,70.74,1.32%,9668409
70,"BR",16581.12,2.05%,6.50%,28.70%,11.00%,1.30,1.30,2.30,2.30,27.90%,13.40%,9.10%,2/2/2023 8:30:00 AM,141.20,0.23%,784934
71,"BRK-B",687834.14,,,,,,,,,,,,2/27/2023 8:30:00 AM,312.51,0.68%,3130855
72,"BRO",16727.75,0.78%,5.20%,15.00%,9.50%,1.10,1.10,0.80,0.86,,28.30%,18.40%,4/24/2023 4:30:00 PM,59.14,0.51%,799120
73,"BSX",72930.00,,2.00%,3.70%,3.80%,1.50,1.00,0.51,0.51,69.00%,11.50%,5.10%,4/26/2023 8:30:00 AM,50.08,-1.30%,9622857
74,"BWA",10847.59,1.48%,5.70%,13.50%,9.40%,1.60,1.20,0.58,0.59,19.60%,8.70%,6.00%,5/4/2023 8:30:00 AM,46.06,-0.73%,2041154
75,"BXP",8237.93,7.38%,3.60%,14.10%,5.10%,,,2.36,2.36,63.00%,34.00%,27.30%,4/25/2023 4:30:00 PM,53.10,1.09%,1351938
76,"C",89089.93,4.45%,0.60%,7.60%,8.90%,,,1.49,0.00,,59.00%,18.40%,4/14/2023 8:30:00 AM,45.86,0.20%,11913182
77,"CAG",18240.48,3.44%,3.60%,9.20%,6.30%,1.00,0.30,0.91,1.04,26.30%,10.40%,6.60%,4/5/2023 8:30:00 AM,38.38,0.29%,4634284
78,"CAH",20461.94,2.50%,-2.90%,94.30%,-16.70%,1.00,0.50,,,3.40%,0.00%,-0.70%,5/4/2023 8:30:00 AM,79.23,-0.24%,1855285
79,"CARR",35151.29,1.77%,14.20%,49.20%,22.90%,1.60,1.20,1.12,1.14,26.80%,22.10%,17.30%,2/7/2023 8:30:00 AM,41.80,-0.71%,4861873
80,"CAT",110255.60,2.29%,8.20%,41.70%,11.00%,1.40,0.90,1.62,2.33,30.80%,13.30%,11.30%,1/31/2023 8:30:00 AM,209.17,-2.04%,4177227
81,"CB",81168.19,1.69%,2.70%,10.30%,9.00%,,,0.29,0.30,,16.70%,12.30%,4/25/2023 4:30:00 PM,196.80,0.41%,1248211
82,"CBOE",14313.39,1.47%,3.10%,6.90%,5.60%,1.10,1.10,0.41,0.50,44.00%,12.40%,5.90%,5/5/2023 8:30:00 AM,136.02,0.29%,538257
83,"CBRE",21717.35,,6.80%,17.40%,12.60%,1.00,1.00,0.15,0.29,21.40%,4.90%,4.60%,4/27/2023 8:30:00 AM,70.31,0.33%,1432389
84,"CCI",57990.13,4.66%,4.30%,21.60%,8.20%,0.40,0.40,2.81,2.92,70.40%,34.30%,24.00%,4/19/2023 4:30:00 PM,134.42,0.52%,1149578
85,"CCL",12053.72,,-9.40%,-65.50%,-10.60%,0.60,0.60,5.30,5.70,36.80%,-20.40%,-32.70%,3/27/2023 8:30:00 AM,9.73,0.72%,28029305
86,"CDAY",10586.65,,-0.80%,-3.50%,-2.20%,1.10,1.10,0.58,0.58,38.00%,-5.00%,-5.90%,2/8/2023 4:30:00 PM,69.23,-0.14%,672274
87,"CDNS",56707.02,,18.00%,31.30%,25.10%,1.30,1.20,0.24,0.27,89.60%,30.10%,23.80%,4/24/2023 4:30:00 PM,208.52,0.46%,1885651
88,"CDW",25487.70,1.27%,8.30%,90.50%,18.10%,1.30,1.20,3.66,3.69,19.70%,7.30%,4.70%,2/8/2023 8:30:00 AM,185.50,-1.31%,545168
89,"CE",11838.25,2.64%,10.40%,37.70%,9.20%,1.60,0.90,2.37,2.60,24.60%,14.20%,19.60%,2/23/2023 4:30:00 PM,106.03,-0.74%,690027
90,"CEG",25056.64,1.47%,-0.30%,-1.40%,-2.90%,1.20,1.10,0.41,0.50,30.20%,2.90%,-0.70%,2/16/2023 8:30:00 AM,76.96,0.60%,1222992
91,"CF",14337.73,2.24%,24.90%,74.00%,52.80%,3.70,3.20,0.59,0.00,52.40%,48.20%,29.90%,2/15/2023 4:30:00 PM,71.46,-2.32%,2295786
92,"CFG",13860.87,5.78%,0.90%,9.20%,17.10%,,,0.31,0.34,,78.40%,27.80%,4/19/2023 8:30:00 AM,29.07,1.57%,5573715
93,"CHD",21894.09,1.20%,5.00%,11.70%,7.90%,1.20,0.60,0.74,0.77,41.90%,11.10%,7.70%,4/27/2023 8:30:00 AM,90.61,1.00%,1264739
94,"CHRW",10854.44,2.63%,13.60%,52.40%,30.30%,1.10,1.10,0.68,1.53,14.50%,5.10%,3.80%,4/26/2023 4:30:00 PM,92.67,-0.55%,867956
95,"CHTR",59717.53,,3.50%,50.60%,9.70%,0.30,0.30,10.54,10.70,45.30%,22.10%,9.40%,4/28/2023 8:30:00 AM,350.27,-0.81%,765105
96,"CI",78974.18,1.85%,4.50%,14.70%,10.50%,,,0.63,0.69,,5.30%,3.70%,5/5/2023 8:30:00 AM,265.29,-0.22%,1708914
97,"CINF",17491.10,2.68%,-1.70%,-4.60%,-3.80%,,,0.08,0.08,,-9.80%,-7.40%,4/27/2023 4:30:00 PM,111.85,0.51%,575769
98,"CL",62709.96,2.54%,11.30%,472.20%,24.00%,1.30,0.80,21.80,21.86,57.00%,16.00%,9.90%,4/28/2023 8:30:00 AM,75.68,0.42%,3261800
99,"CLX",19445.50,2.99%,7.10%,108.50%,14.30%,0.90,0.50,7.71,8.36,36.30%,8.10%,6.20%,5/2/2023 4:30:00 PM,157.76,0.22%,679491
100,"CMA",5249.99,6.88%,1.30%,20.30%,26.60%,,,0.63,0.63,,90.00%,42.00%,4/20/2023 8:30:00 AM,41.28,3.41%,2920259
101,"CMCSA",159873.06,3.08%,2.00%,6.20%,5.40%,0.80,0.80,1.21,1.24,68.50%,11.60%,4.40%,4/27/2023 8:30:00 AM,37.69,-0.61%,20358467
102,"CME",70218.44,2.26%,1.40%,9.60%,7.30%,1.00,1.00,0.13,0.13,,60.10%,52.90%,4/26/2023 8:30:00 AM,195.10,-0.05%,1370085
103,"CMG",46882.54,,13.40%,40.00%,37.10%,1.30,1.20,0.00,0.00,29.20%,13.40%,10.40%,4/25/2023 4:30:00 PM,1685.21,-0.72%,217657
104,"CMI",31187.71,2.85%,7.90%,24.90%,13.60%,1.30,0.80,0.50,0.88,24.00%,10.40%,7.70%,2/6/2023 8:30:00 AM,220.33,-0.01%,861183
105,"CMS",18117.26,3.13%,2.80%,12.40%,5.30%,1.20,0.80,1.94,2.11,62.10%,14.20%,9.60%,4/27/2023 8:30:00 AM,62.31,0.31%,1855847
106,"CNC",36230.45,,1.50%,4.70%,1.40%,,,0.75,0.75,,0.90%,0.80%,4/25/2023 8:30:00 AM,66.02,0.35%,3807035
107,"CNP",19139.25,2.47%,2.70%,10.90%,5.60%,0.90,0.70,1.60,1.82,,20.10%,10.80%,4/27/2023 8:30:00 AM,30.77,1.25%,4792126
108,"COF",36270.85,2.53%,1.60%,14.50%,20.10%,,,1.00,1.00,,68.10%,22.60%,4/27/2023 4:30:00 PM,94.93,0.09%,2045018
109,"COO",18477.25,0.02%,3.20%,5.20%,4.20%,1.70,1.00,0.36,0.37,65.30%,15.60%,11.10%,3/2/2023 4:30:00 PM,372.30,-0.35%,286356
110,"COP",130579.73,5.03%,19.90%,38.00%,26.10%,1.50,1.40,0.34,0.35,47.80%,34.20%,23.80%,5/4/2023 8:30:00 AM,106.26,-1.38%,5086616
111,"COST",220469.69,0.74%,9.30%,28.50%,20.40%,1.10,0.60,0.29,0.29,12.10%,3.40%,2.60%,3/2/2023 4:30:00 PM,485.98,-2.24%,4112354
112,"CPB",16638.78,2.67%,6.80%,23.60%,11.60%,0.80,0.30,1.11,1.27,30.80%,13.60%,8.90%,3/8/2023 8:30:00 AM,55.47,-0.16%,1532885
113,"CPRT",35591.57,,19.40%,22.70%,23.90%,5.40,5.30,0.00,0.00,43.90%,37.00%,29.50%,2/20/2023 4:30:00 PM,74.38,-0.40%,1632232
114,"CPT",11042.58,3.83%,7.10%,13.50%,7.20%,,,0.69,0.74,62.80%,43.90%,45.90%,4/27/2023 4:30:00 PM,104.56,1.03%,342073
115,"CRL",10018.23,,6.60%,17.90%,9.50%,1.30,1.10,0.91,0.91,36.80%,16.40%,12.20%,2/22/2023 8:30:00 AM,196.59,0.43%,508814
116,"CRM",195309.24,,0.20%,0.40%,0.10%,1.00,1.00,0.16,0.18,73.30%,1.70%,0.70%,3/1/2023 4:30:00 PM,192.55,-1.41%,6302822
117,"CSCO",212245.50,3.04%,12.00%,27.90%,22.90%,1.40,1.30,0.18,0.21,61.90%,26.10%,21.30%,2/15/2023 4:30:00 PM,51.27,-1.06%,14746425
118,"CSGP",27558.65,,4.70%,5.90%,4.20%,13.90,13.90,0.14,0.14,81.00%,20.70%,16.90%,4/25/2023 4:30:00 PM,68.36,0.90%,2071037
119,"CSX",60413.75,1.47%,10.10%,32.20%,15.60%,1.60,1.40,1.42,1.43,71.00%,40.60%,28.00%,4/20/2023 4:30:00 PM,30.02,2.49%,18372697
120,"CTAS",45927.39,1.02%,,,21.70%,1.90,1.50,0.72,0.85,,,,3/29/2023 8:30:00 AM,451.73,-0.00%,238854
121,"CTLT",11097.36,,3.90%,8.60%,7.40%,1.90,1.40,0.86,0.99,32.70%,13.80%,8.60%,2/7/2023 8:30:00 AM,64.95,5.40%,1854502
122,"CTRA",19521.54,10.02%,19.90%,33.00%,27.80%,1.90,1.80,0.17,0.17,88.50%,57.90%,44.80%,2/22/2023 4:30:00 PM,24.94,-1.85%,5165609
123,"CTSH",30893.95,1.92%,13.10%,19.00%,17.30%,2.20,2.20,0.05,0.05,35.90%,15.30%,11.80%,2/2/2023 4:30:00 PM,60.42,-0.40%,3211884
124,"CTVA",43269.49,1.00%,2.80%,4.50%,5.20%,1.60,0.90,0.05,0.05,40.20%,9.10%,6.60%,5/3/2023 4:30:00 PM,59.80,-1.52%,3045861
125,"CVS",99839.73,3.12%,1.80%,5.70%,5.10%,0.90,0.70,0.71,0.74,38.90%,2.40%,1.30%,5/3/2023 8:30:00 AM,77.54,-0.27%,8777119
126,"CVX",323906.49,3.60%,13.80%,23.00%,15.20%,1.50,1.20,0.13,0.15,38.30%,17.80%,15.00%,4/28/2023 8:30:00 AM,167.65,-1.31%,5797437
127,"CZR",9859.63,,-2.60%,-24.00%,5.80%,0.80,0.80,6.81,6.83,47.40%,15.30%,-8.30%,5/2/2023 4:30:00 PM,45.29,-1.16%,2105450
128,"D",47951.76,4.60%,0.90%,3.40%,2.10%,0.70,0.60,1.49,1.75,99.70%,9.30%,5.20%,5/5/2023 8:30:00 AM,58.06,1.13%,3196983
129,"DAL",21455.81,,1.80%,29.40%,10.00%,0.50,0.40,3.14,3.50,43.10%,7.00%,2.60%,4/13/2023 8:30:00 AM,33.69,0.69%,6282180
130,"DD",32248.89,2.07%,13.40%,22.70%,3.90%,3.00,2.40,0.29,0.30,35.50%,13.60%,45.10%,2/7/2023 8:30:00 AM,69.64,-1.02%,2888356
131,"DE",110773.01,1.35%,9.30%,41.20%,11.00%,,,1.64,2.53,34.20%,20.70%,14.80%,2/17/2023 8:30:00 AM,369.65,-1.12%,1846780
132,"DFS",25262.07,2.47%,3.60%,33.20%,21.70%,,,1.20,1.49,,67.20%,33.50%,4/19/2023 4:30:00 PM,97.02,-0.39%,1770004
133,"DG",46454.26,1.11%,8.50%,40.60%,20.90%,1.30,0.10,1.26,0.00,31.20%,8.80%,6.40%,3/16/2023 8:30:00 AM,212.44,0.20%,1094676
134,"DGX",15953.98,1.99%,7.10%,15.10%,11.70%,1.20,1.10,0.68,0.68,35.10%,14.40%,9.50%,4/27/2023 8:30:00 AM,142.88,-0.30%,886206
135,"DHI",33443.39,1.05%,19.50%,30.50%,23.20%,,,0.18,0.28,30.90%,22.00%,16.80%,4/20/2023 8:30:00 AM,95.64,-1.80%,3569568
136,"DHR",180599.38,0.44%,8.60%,15.60%,11.20%,1.90,1.50,0.39,0.41,60.20%,27.60%,22.60%,4/25/2023 8:30:00 AM,246.96,-0.30%,2042866
137,"DIS",182516.23,,1.60%,3.50%,3.30%,1.00,0.90,0.47,0.50,33.40%,7.50%,3.90%,2/8/2023 4:30:00 PM,99.97,0.06%,7036901
138,"DISH",4530.67,,4.60%,13.70%,3.30%,0.80,0.70,1.10,1.19,31.80%,12.30%,13.80%,2/23/2023 8:30:00 AM,8.77,2.81%,9192000
139,"DLR",26277.86,5.37%,0.90%,2.00%,1.50%,,,0.98,0.98,60.10%,11.50%,7.20%,2/16/2023 4:30:00 PM,90.93,0.80%,2686036
140,"DLTR",32896.11,,7.10%,19.20%,14.30%,1.50,0.20,0.39,0.00,31.50%,7.90%,5.70%,3/1/2023 8:30:00 AM,149.04,0.23%,1404554
141,"DOV",19971.28,1.43%,9.90%,25.10%,14.50%,1.20,0.70,0.69,0.86,36.10%,16.20%,12.50%,4/26/2023 8:30:00 AM,141.57,-0.92%,945533
142,"DOW",38684.52,5.12%,7.40%,23.80%,11.60%,1.80,1.20,0.71,0.74,15.10%,9.90%,8.00%,4/25/2023 8:30:00 AM,54.66,0.04%,5021797
143,"DPZ",11629.80,1.46%,27.40%,-10.70%,77.70%,1.50,1.30,,,36.30%,16.90%,10.00%,4/27/2023 8:30:00 AM,330.58,0.67%,717002
144,"DRI",18628.67,3.23%,9.40%,45.60%,24.80%,0.50,0.30,0.97,0.98,19.60%,11.30%,9.20%,3/23/2023 8:30:00 AM,149.70,-2.20%,1282217
145,"DTE",23110.41,3.35%,2.60%,11.70%,5.80%,0.80,0.60,1.62,1.84,,9.10%,5.60%,2/23/2023 8:30:00 AM,113.85,1.53%,1753914
146,"DUK",76170.44,4.03%,1.40%,5.10%,4.70%,0.70,0.50,1.42,1.59,65.00%,20.90%,8.50%,2/9/2023 8:30:00 AM,99.74,0.91%,2879319
147,"DVA",7498.17,,3.30%,83.20%,11.80%,1.20,1.20,12.20,12.53,29.30%,11.50%,4.80%,2/22/2023 4:30:00 PM,82.47,-0.57%,324141
148,"DVN",35008.43,9.56%,25.80%,57.50%,34.90%,1.30,1.20,0.58,0.60,55.30%,41.60%,31.10%,2/14/2023 4:30:00 PM,52.91,-1.16%,6233687
149,"DXC",5671.64,,3.80%,15.10%,8.80%,1.10,1.10,0.83,1.02,21.40%,7.20%,4.80%,2/1/2023 4:30:00 PM,24.74,-0.68%,1553432
150,"DXCM",43595.62,,6.60%,16.20%,8.20%,2.00,1.80,0.59,0.95,65.20%,13.40%,11.70%,4/27/2023 4:30:00 PM,112.47,-0.31%,1834680
151,"EA",34594.23,0.61%,7.80%,13.60%,8.80%,1.20,1.20,0.25,0.25,76.40%,20.60%,14.10%,1/31/2023 4:30:00 PM,125.16,-0.78%,1990974
152,"EBAY",23542.18,2.30%,-6.10%,-22.80%,19.10%,2.20,2.20,1.50,1.72,72.60%,24.00%,-13.00%,2/22/2023 4:30:00 PM,43.57,-0.64%,3629603
153,"ECL",47284.01,1.27%,5.20%,15.30%,8.70%,1.30,0.90,1.12,1.19,38.20%,11.40%,7.70%,5/2/2023 8:30:00 AM,167.04,0.57%,1102448
154,"ED",34127.83,3.27%,2.50%,8.10%,4.80%,1.10,1.10,0.97,1.15,76.20%,16.80%,10.60%,2/16/2023 4:30:00 PM,98.97,0.47%,1578578
155,"EFX",24570.89,0.79%,6.10%,18.10%,8.50%,0.70,0.70,1.22,1.46,57.50%,20.60%,13.60%,4/19/2023 4:30:00 PM,196.41,-1.50%,791730
