No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Dividend Yield,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Average Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap
11,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,96298.96,28.26,187.17,-1.68%,3008992,17.13,4.28,7.66,2.6,57.65,35.75,51.60%,2.02%,18.10%,6.60%,18.00%,1.84%,6.80%,9.40%,6.80%,2.1,1.5,0.18,0.0,65.60%,32.20%,27.30%,2/15/2023 8:30:00 AM,507.12,504.56,0.37%,-5.19%,89.30%,0.21%,1.10%,1.6,3460.52,-3.62%,0.32%,17.21%,23.23%,17.00%,14.11%,2.16%,2.37%,2.0,0.87,1.16,4.61,-0.44%,1.72%,14.01%,-5.59%,40.22%,49.17,-0.83%,-0.86%
12,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,43392.83,10.22,78.74,-0.84%,2413897,11.78,,0.43,1.79,41.84,34.44,61.30%,-2.79%,29.40%,-2.80%,10.80%,2.29%,7.10%,18.00%,9.80%,1.5,0.9,0.32,0.38,7.50%,4.10%,4.30%,1/26/2023 8:30:00 AM,553.0,542.29,0.20%,-26.86%,81.80%,-1.04%,1.16%,1.92,3292.93,-0.92%,-1.46%,-6.52%,-8.73%,-13.38%,-15.20%,1.77%,2.26%,2.3,0.73,0.8,1.65,1.25%,-1.81%,-7.35%,-20.37%,12.45%,48.73,-0.89%,0.05%
13,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,88326.32,28.71,216.11,1.38%,1966560,23.97,2.14,5.12,29.97,64.88,56.24,15.40%,10.95%,12.00%,13.43%,5.90%,2.31%,5.30%,96.90%,47.10%,1.0,1.0,1.0,1.0,43.70%,23.70%,18.20%,4/26/2023 8:30:00 AM,414.3,410.16,0.10%,-30.26%,81.90%,0.81%,1.05%,2.02,2135.28,-1.54%,-2.64%,-7.50%,-9.60%,-9.20%,-9.52%,1.75%,1.93%,3.0,0.92,0.82,4.22,0.25%,-2.16%,-7.83%,-21.39%,9.92%,46.9,1.37%,0.00%
14,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,42430.07,52.26,197.34,-0.11%,1174474,23.61,3.28,8.48,36.68,20.48,20.89,68.60%,15.68%,48.50%,15.95%,19.50%,,9.50%,94.80%,25.30%,0.8,0.8,1.99,1.99,90.40%,19.80%,16.40%,2/23/2023 4:30:00 PM,214.78,214.11,0.10%,-6.55%,95.00%,2.05%,1.11%,1.66,1436.88,-2.12%,-3.51%,8.39%,-3.52%,-6.72%,5.60%,2.88%,2.96%,2.1,0.82,1.54,6.08,-1.52%,-5.37%,-2.24%,-16.03%,20.92%,44.24,0.23%,-0.33%
15,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,23430.81,21.76,90.07,0.90%,1543764,19.25,3.25,2.94,2.22,93.72,14.43,7.70%,7.34%,8.30%,6.70%,5.20%,2.80%,2.90%,10.60%,5.20%,0.8,0.6,1.3,1.44,72.30%,19.00%,13.50%,2/15/2023 4:30:00 PM,259.0,257.49,0.20%,-20.97%,80.00%,-1.66%,1.79%,3.21,1436.83,4.19%,8.32%,4.73%,10.60%,-5.13%,1.29%,1.69%,2.29%,2.2,1.07,0.44,1.79,6.44%,6.04%,3.51%,-9.20%,22.91%,66.77,0.24%,0.65%
16,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,48580.83,21.08,94.89,0.37%,2991524,16.83,3.73,2.47,2.04,69.71,13.72,-9.40%,6.58%,3.30%,5.65%,4.90%,3.50%,2.50%,9.60%,5.40%,0.6,0.6,1.41,1.67,63.90%,17.70%,11.70%,5/4/2023 8:30:00 AM,513.88,513.7,0.03%,-30.15%,75.70%,0.34%,1.26%,2.15,3004.81,4.93%,6.26%,1.18%,8.20%,-6.34%,-0.06%,1.87%,2.49%,2.5,1.0,0.45,2.1,5.50%,4.81%,1.17%,-10.14%,18.17%,64.37,-0.47%,0.85%
17,AES,The AES Corporation,Utilities,Utilities - Diversified,USA,16123.52,,24.4,1.24%,4738909,12.65,,1.28,8.22,7.66,,-31.80%,12.54%,-2.90%,8.40%,3.70%,2.72%,-1.50%,-25.60%,2.20%,1.2,1.0,13.6,14.7,20.20%,6.40%,-4.30%,5/5/2023 8:30:00 AM,669.03,666.36,0.38%,-22.92%,97.40%,0.34%,1.50%,2.29,4372.13,3.52%,-1.29%,-5.68%,-4.01%,-5.94%,-15.16%,1.80%,2.70%,1.7,1.08,0.93,0.6,5.45%,-1.61%,-2.96%,-18.37%,31.04%,56.59,0.66%,0.58%
18,AFL,Aflac Incorporated,Financial,Insurance - Life,USA,39430.66,9.84,64.56,0.16%,2355670,10.69,8.71,2.02,1.79,10.0,13.6,3.10%,6.60%,14.50%,1.13%,-2.10%,2.60%,3.10%,16.40%,14.90%,,,0.33,0.33,,24.70%,21.50%,4/26/2023 4:30:00 PM,619.68,563.18,0.10%,-15.68%,60.60%,-0.89%,1.56%,3.26,2698.71,0.42%,-2.36%,-9.71%,8.20%,1.24%,-10.26%,1.81%,2.27%,2.9,0.87,0.93,1.39,1.78%,-3.87%,0.39%,-12.77%,23.99%,48.43,-0.08%,0.23%
19,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,36859.33,4.0,51.08,1.67%,3438365,6.92,0.25,0.65,0.96,18.04,11.43,20.20%,18.20%,81.60%,15.98%,2.60%,2.51%,1.90%,23.00%,18.60%,,,0.63,0.69,,27.30%,18.20%,5/4/2023 4:30:00 PM,744.82,726.3,0.32%,0.00%,92.00%,-3.13%,1.00%,1.33,5453.41,2.53%,-10.93%,-19.57%,-0.43%,-18.21%,-19.23%,2.18%,3.40%,2.3,0.63,1.13,1.64,2.85%,-9.48%,-8.87%,-22.29%,11.87%,46.75,1.21%,0.46%
20,AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA,6285.69,23.46,118.33,-0.37%,420111,8.72,1.97,0.62,1.49,4.09,24.14,-49.30%,17.47%,-4.00%,11.90%,9.70%,2.37%,0.80%,6.20%,6.10%,,,0.5,0.5,,4.50%,2.70%,5/2/2023 4:30:00 PM,53.41,52.33,0.20%,-0.49%,99.00%,-6.36%,2.07%,2.45,441.31,-0.27%,-3.06%,-6.21%,-22.12%,-34.94%,-5.38%,2.14%,2.91%,1.9,0.95,0.54,3.19,2.94%,-4.56%,-16.46%,-39.04%,13.25%,49.49,-0.75%,0.38%
21,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,41804.94,37.97,197.37,1.07%,895013,19.95,3.72,4.89,4.56,122.13,27.63,18.60%,12.86%,12.80%,10.20%,6.50%,1.11%,2.80%,12.50%,9.20%,1.0,1.0,0.61,0.67,44.30%,18.50%,13.00%,4/27/2023 4:30:00 PM,211.2,208.85,0.30%,-11.32%,87.20%,1.93%,0.95%,2.17,913.98,4.06%,4.44%,5.86%,8.59%,12.87%,4.68%,1.47%,1.96%,1.9,0.98,0.7,3.44,6.28%,4.39%,7.32%,-2.47%,33.14%,66.96,1.01%,0.06%
22,AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA,12099.22,24.13,78.92,1.95%,1079248,13.11,2.01,3.35,2.84,10.95,11.71,-17.00%,10.10%,17.80%,12.00%,7.80%,,6.40%,12.20%,8.30%,2.4,2.4,0.52,0.0,61.70%,18.70%,14.50%,2/14/2023 4:30:00 PM,157.11,154.56,0.10%,-18.79%,95.40%,-1.95%,7.15%,6.45,1712.44,3.10%,6.06%,-6.74%,-7.57%,-34.46%,-6.38%,1.62%,1.92%,2.8,0.63,0.81,1.49,5.24%,0.08%,-8.77%,-35.97%,11.71%,60.16,2.12%,-0.17%
23,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,23073.47,8.53,194.68,-1.03%,2013870,6.97,,3.15,2.86,15.39,49.96,28.30%,-0.90%,43.50%,,19.00%,0.82%,20.20%,40.40%,18.60%,1.9,1.1,0.4,0.4,42.00%,33.70%,36.70%,5/3/2023 4:30:00 PM,117.16,116.97,0.10%,-16.72%,85.80%,1.70%,4.68%,3.16,1732.59,-12.48%,-23.13%,-10.95%,-29.67%,-10.41%,-10.23%,3.10%,4.05%,2.4,1.16,1.55,9.34,-10.76%,-21.20%,-23.22%,-41.81%,5.15%,28.42,-0.26%,-0.78%
24,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USA,24287.2,70.26,323.14,1.93%,612973,33.11,1.62,6.5,6.96,24.3,87.74,-52.40%,21.65%,3.60%,43.25%,20.40%,,6.10%,9.90%,11.20%,1.3,1.1,0.0,0.0,70.50%,17.20%,9.70%,4/26/2023 4:30:00 PM,77.54,73.17,0.30%,7.98%,89.30%,-1.40%,3.65%,2.55,1044.46,3.62%,-2.74%,47.00%,41.23%,-26.02%,53.22%,3.86%,3.61%,2.2,0.59,1.6,11.88,1.85%,2.65%,28.50%,-25.07%,87.82%,54.18,2.37%,-0.43%
25,ALK,"Alaska Air Group, Inc.",Industrials,Airlines,USA,5347.07,96.2,42.04,0.21%,1674085,6.1,4.95,0.55,1.4,2.21,3.79,-87.60%,20.21%,-40.00%,19.43%,4.10%,,0.40%,1.50%,0.80%,0.7,0.7,0.49,0.57,51.60%,0.70%,0.60%,4/20/2023 8:30:00 AM,127.31,126.36,0.20%,-1.96%,79.90%,2.38%,3.06%,2.46,1570.86,2.59%,-14.57%,-4.69%,-1.45%,-26.08%,-2.10%,2.03%,3.23%,1.8,1.07,1.52,1.25,2.00%,-9.39%,-6.01%,-31.70%,13.03%,45.91,-0.43%,0.64%
26,ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty,USA,30251.01,,115.22,0.30%,1414450,8.63,,0.59,1.96,41.1,8.01,-130.80%,99.55%,-21.60%,-2.19%,5.40%,3.09%,-1.50%,-8.00%,-5.80%,,,0.51,0.51,,-3.60%,-2.80%,5/3/2023 4:30:00 PM,264.3,261.64,0.66%,-4.89%,81.50%,1.16%,1.45%,1.93,1968.57,5.62%,-5.87%,-17.31%,-13.37%,-16.04%,-15.03%,2.51%,3.10%,2.2,0.72,0.57,3.42,3.77%,-6.44%,-9.16%,-20.24%,11.65%,49.98,-0.13%,0.43%
27,ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,8715.51,19.19,99.64,0.45%,836839,14.38,2.13,2.66,9.31,30.26,34.64,-2.80%,8.10%,8.90%,9.00%,6.30%,1.81%,12.60%,56.30%,17.20%,1.7,1.0,2.21,2.22,40.40%,17.70%,14.00%,4/26/2023 8:30:00 AM,88.0,87.4,0.10%,14.60%,97.60%,1.71%,1.77%,1.98,781.77,-5.14%,-12.86%,-7.53%,3.83%,-9.53%,-5.34%,2.79%,2.69%,2.6,1.07,1.1,2.75,-4.85%,-10.89%,-4.88%,-19.29%,14.10%,35.9,0.64%,-0.18%
28,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,99149.18,15.34,114.45,-2.45%,6265919,16.9,1.23,3.78,7.21,24.5,30.96,16.10%,-4.01%,18.00%,12.48%,11.90%,1.12%,24.30%,52.40%,38.00%,2.3,1.5,0.41,0.43,46.40%,29.60%,24.60%,2/16/2023 4:30:00 PM,845.0,834.77,0.35%,-1.19%,79.90%,0.73%,1.81%,2.3,6584.22,-6.27%,-3.54%,16.88%,28.28%,-5.97%,17.53%,2.63%,3.28%,2.2,0.95,1.6,4.09,-4.50%,-2.59%,11.93%,-8.89%,60.93%,42.72,0.25%,-2.69%
29,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,16804.24,15.8,11.25,-0.53%,9398339,13.79,5.6,1.12,3.81,20.08,763.83,-12.20%,5.29%,1.80%,2.82%,9.80%,4.36%,6.10%,25.20%,8.90%,1.3,0.8,1.57,1.59,19.10%,10.20%,7.10%,2/7/2023 4:30:00 PM,1475.0,1474.71,0.20%,-26.77%,48.50%,-0.80%,1.90%,3.42,8176.06,0.99%,2.74%,-5.62%,1.44%,-2.00%,-5.54%,1.53%,1.65%,3.0,1.15,0.85,0.19,2.55%,-0.21%,-4.72%,-17.31%,7.97%,54.79,-0.53%,0.00%
30,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,148966.4,104.49,92.47,-0.10%,47732587,21.25,12.73,6.31,2.73,25.44,47.82,-67.30%,42.22%,21.90%,8.21%,35.10%,,2.00%,2.40%,2.40%,2.4,1.8,0.05,0.05,44.90%,5.40%,5.60%,1/31/2023 4:30:00 PM,1618.0,1604.72,0.50%,-2.37%,70.70%,3.26%,2.18%,0.56,62742.18,-5.53%,8.32%,48.36%,36.11%,-13.43%,42.77%,2.69%,4.20%,2.0,0.76,1.95,3.72,-1.47%,7.56%,18.58%,-15.61%,69.45%,51.95,1.00%,-1.09%
31,AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,USA,31242.75,27.0,135.25,-0.31%,1175833,21.02,2.7,5.08,4.16,90.45,38.66,17.80%,7.34%,14.50%,10.00%,7.40%,0.74%,9.60%,16.30%,12.50%,1.6,0.9,0.29,0.32,34.90%,24.40%,18.90%,2/2/2023 8:30:00 AM,229.75,228.54,0.30%,-29.56%,89.00%,0.85%,0.88%,1.94,1032.76,-5.31%,-3.92%,-1.98%,11.70%,2.63%,-3.20%,2.28%,2.19%,2.4,1.14,1.23,2.92,-2.64%,-4.64%,3.50%,-8.65%,27.39%,39.5,0.01%,-0.32%
32,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA,135293.15,20.9,253.32,-0.02%,2047732,13.38,5.07,5.14,37.04,14.54,29.48,17.80%,6.62%,2.00%,4.12%,2.90%,3.36%,10.60%,246.10%,20.60%,1.4,1.1,10.2,10.64,75.70%,36.60%,24.90%,1/31/2023 4:30:00 PM,535.0,532.73,0.21%,-0.08%,79.10%,-1.48%,1.43%,3.0,2538.04,4.89%,10.90%,-5.07%,8.34%,3.58%,-3.55%,1.55%,1.87%,2.7,0.81,0.64,4.29,7.11%,5.93%,0.70%,-14.61%,13.44%,69.64,-0.52%,0.50%
33,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,31385.1,13.25,297.32,-0.39%,430825,8.97,1.24,2.19,8.96,4.42,8.5,-2.10%,9.22%,14.80%,10.66%,3.30%,1.68%,1.60%,63.20%,6.90%,,,1.43,10.01,51.00%,23.60%,17.80%,1/25/2023 4:30:00 PM,108.9,105.02,0.20%,-35.28%,85.20%,-1.41%,0.75%,1.25,632.36,-1.10%,-11.77%,-3.70%,7.62%,-0.41%,-4.51%,2.03%,3.02%,2.1,0.68,1.46,8.74,0.09%,-8.96%,0.42%,-16.82%,35.15%,41.73,-0.51%,0.12%
34,AMT,American Tower Corporation,Real Estate,REIT - Specialty,USA,95313.03,53.83,206.69,0.98%,1273327,41.28,6.66,8.9,17.27,46.99,,-32.60%,13.56%,7.40%,8.09%,10.00%,3.02%,2.60%,29.20%,5.30%,0.4,0.4,6.13,6.94,69.50%,22.00%,16.50%,4/26/2023 8:30:00 AM,465.65,464.37,0.10%,-11.86%,93.20%,-0.40%,0.70%,1.52,2124.08,2.74%,5.58%,-2.56%,-3.48%,-21.39%,-2.44%,2.03%,2.82%,1.9,0.6,0.57,5.39,4.12%,0.46%,-8.57%,-26.83%,16.01%,56.57,0.64%,0.33%
35,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1035997.77,,102.06,0.95%,43751813,40.63,,2.02,7.14,14.79,,-108.20%,173.04%,-26.00%,,23.60%,,-0.60%,-2.00%,6.60%,0.9,0.7,0.58,0.61,43.80%,2.40%,-0.50%,2/2/2023 4:30:00 PM,10222.0,9245.75,9.80%,-0.02%,60.10%,0.61%,0.61%,0.84,67079.28,0.06%,8.67%,22.79%,-15.62%,-37.79%,21.50%,2.22%,3.07%,1.8,0.65,1.26,2.87,3.74%,3.82%,-5.03%,-37.08%,25.33%,57.84,1.14%,-0.19%
36,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,49900.38,37.38,159.85,-1.85%,2677310,24.67,1.88,11.39,10.02,16.5,111.34,62.30%,11.78%,23.30%,19.90%,21.60%,,21.80%,31.00%,26.60%,4.3,3.2,0.0,0.0,61.10%,34.90%,30.90%,5/1/2023 4:30:00 PM,306.16,234.13,0.10%,-63.92%,67.90%,1.40%,1.41%,1.29,2554.59,-1.62%,7.72%,46.00%,31.73%,13.31%,31.73%,2.61%,2.90%,2.3,1.05,1.27,4.62,-1.10%,9.66%,28.26%,-6.76%,79.37%,53.92,0.73%,-2.56%
37,ANSS,"ANSYS, Inc.",Technology,Software - Application,USA,28066.05,53.8,322.08,-0.38%,421756,33.63,5.78,13.59,5.76,45.67,46.27,16.00%,10.68%,13.60%,9.30%,13.50%,,8.40%,11.50%,9.60%,2.1,2.1,0.15,0.0,87.90%,28.70%,25.40%,2/22/2023 4:30:00 PM,87.02,86.78,0.10%,-17.29%,96.30%,-0.36%,1.10%,1.87,510.35,-1.21%,6.43%,39.04%,37.74%,0.95%,33.32%,1.61%,2.05%,2.2,0.83,1.25,6.63,2.18%,9.30%,25.21%,-3.54%,65.82%,60.76,0.39%,-0.77%
38,AON,Aon plc,Financial,Insurance Brokers,Ireland,65965.5,26.57,322.05,0.15%,465826,19.77,2.34,5.29,,8.76,25.77,118.80%,11.58%,33.60%,11.36%,4.50%,0.70%,7.80%,,31.30%,1.0,1.0,,,,29.80%,20.70%,4/28/2023 8:30:00 AM,207.2,189.53,0.10%,-26.38%,89.60%,-1.51%,0.93%,2.04,860.5,2.89%,7.07%,7.22%,13.89%,-1.20%,7.30%,1.20%,1.91%,2.8,0.54,0.89,5.24,5.69%,4.20%,9.59%,-5.83%,30.80%,69.61,0.25%,-0.10%
39,AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,USA,9750.72,43.59,64.6,-0.02%,1159084,17.98,5.45,2.6,5.63,20.24,67.76,-49.90%,8.09%,-6.90%,8.00%,4.60%,1.86%,7.10%,13.30%,11.30%,1.7,1.2,0.19,0.2,35.40%,6.00%,6.30%,4/27/2023 8:30:00 AM,152.27,125.97,0.81%,-4.56%,98.63%,0.59%,4.34%,4.59,1190.45,-4.86%,-3.60%,8.79%,25.44%,-1.21%,12.86%,2.78%,2.51%,2.9,0.97,1.27,1.69,-3.60%,-2.80%,8.91%,-10.12%,38.69%,41.39,0.08%,-0.09%
40,APA,APA Corporation,Energy,Oil & Gas E&P,USA,11813.12,3.51,38.07,0.21%,5084680,5.27,0.25,1.07,27.99,48.22,2.51,325.20%,24.39%,24.40%,13.87%,13.50%,2.63%,28.20%,924.90%,76.90%,0.9,0.8,12.89,12.89,70.90%,55.70%,33.20%,5/4/2023 8:30:00 AM,311.0,308.44,0.44%,0.00%,82.40%,-3.49%,3.85%,1.92,6193.82,7.60%,-1.09%,-8.84%,-6.05%,-8.68%,-18.44%,3.25%,4.48%,2.3,0.82,3.52,1.63,8.21%,-2.02%,-4.92%,-26.72%,26.27%,54.9,0.77%,-0.55%
41,APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,USA,63043.92,27.82,282.0,-0.66%,869163,22.57,3.17,4.9,4.5,20.01,,10.60%,10.23%,14.30%,8.79%,9.20%,2.48%,8.20%,16.60%,8.80%,1.9,1.7,0.54,0.58,27.10%,19.20%,17.60%,2/2/2023 8:30:00 AM,222.2,220.96,0.30%,-0.07%,85.40%,1.11%,0.95%,1.84,1145.76,0.82%,-2.77%,-6.57%,16.14%,12.05%,-8.52%,1.86%,2.14%,2.3,0.76,0.86,5.85,1.13%,-1.63%,3.49%,-14.17%,28.84%,50.0,-0.12%,-0.54%
